NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
4,1,153430,18-Jan,23,56,69114.304,64.0,1079.911,SMAR
4,2,153430,18-Sep,23,56,9640.842,6.0,1606.807,SMAR
4,1,153430,18-Oct,23,56,30165.672,24.0,1256.903,SMAR
1,1,153430,18-Nov,23,56,77927.986,62.0,1256.903,SMAR
1,3,153430,18-Dec,23,56,13402.035,9.0,1489.115,SMAR
4,1,153430,19-Oct,23,56,37267.244,28.0,1330.973,SMAR
1,2,153430,19-Dec,23,56,13349.912,8.0,1668.739,SMAR
1,3,153430,19-Jan,23,56,11905.84,8.0,1488.23,SMAR
1,3,153430,18-Aug,23,56,21550.89,15.0,1436.7259999999999,SMAR
4,3,153430,18-Oct,23,56,22347.345,15.0,1489.823,SMAR
1,1,153430,19-Apr,23,56,106654.88,80.0,1333.1860000000001,SMAR
1,1,153430,19-Dec,23,56,54569.893,41.0,1330.973,SMAR
1,1,153430,19-Jun,23,56,17331.418,13.0,1333.1860000000001,SMAR
1,6,153430,19-Mar,23,56,8929.38,6.0,1488.2299999999998,SMAR
4,6,153430,19-Jul,23,56,6229.028,4.0,1557.257,SMAR
1,1,153430,19-Jan,23,56,43935.85,35.0,1255.31,SMAR
1,2,153430,19-Jan,23,56,12842.352,8.0,1605.294,SMAR
2,1,153430,18-Aug,23,56,13095.841,11.0,1190.531,SMAR
3,1,153430,18-Aug,23,56,26191.682,22.0,1190.531,SMAR
4,2,153430,18-Oct,23,56,12854.456,8.0,1606.807,SMAR
1,1,153430,18-Oct,23,56,57817.538,46.0,1256.903,SMAR
1,1,153430,19-Sep,23,56,59893.785,45.0,1330.9730000000002,SMAR
4,3,153430,19-Apr,23,56,6229.028,4.0,1557.257,SMAR
4,2,153430,19-Nov,23,56,21693.607,13.0,1668.739,SMAR
4,1,153430,18-May,23,56,40469.724,36.0,1124.159,SMAR
4,2,153430,18-May,23,56,8960.166,6.0,1493.3609999999999,SMAR
4,3,153430,18-Aug,23,56,33044.698,23.0,1436.7259999999999,SMAR
4,3,153430,18-Jul,23,56,24424.342,17.0,1436.726,SMAR
1,1,153430,18-Jul,23,56,8333.717,7.0,1190.5310000000002,SMAR
1,3,153430,18-Jun,23,56,12333.186,9.0,1370.354,SMAR
4,3,153430,18-Jun,23,56,2740.708,2.0,1370.354,SMAR
4,2,153430,18-Nov,23,56,3213.614,2.0,1606.807,SMAR
1,2,153430,19-Jun,23,56,6683.36,4.0,1670.84,SMAR
4,6,153430,19-Mar,23,56,20835.22,14.0,1488.23,SMAR
1,2,153430,19-Mar,23,56,9631.764,6.0,1605.2939999999999,SMAR
1,3,153430,18-Jul,23,56,5746.904,4.0,1436.726,SMAR
1,3,153430,18-Nov,23,56,14898.23,10.0,1489.8229999999999,SMAR
4,1,153430,19-Feb,23,56,67786.74,54.0,1255.3100000000002,SMAR
4,1,153430,18-Mar,23,56,61554.927,57.0,1079.911,SMAR
3,2,153430,18-Aug,23,56,29571.334,19.0,1556.386,SMAR
1,2,153430,18-Nov,23,56,6427.228,4.0,1606.807,SMAR
4,2,153430,19-Feb,23,56,12842.352,8.0,1605.294,SMAR
4,3,153430,18-Feb,23,56,14587.166,11.0,1326.106,SMAR
4,3,153430,18-May,23,56,13703.54,10.0,1370.354,SMAR
2,2,153430,18-Aug,23,56,3112.772,2.0,1556.386,SMAR
1,2,153430,18-Jun,23,56,10453.527,7.0,1493.361,SMAR
4,1,153430,19-Jan,23,56,25106.2,20.0,1255.31,SMAR
4,2,153430,19-Jan,23,56,4815.882,3.0,1605.2939999999999,SMAR
1,2,153430,19-May,23,56,10025.04,6.0,1670.8400000000001,SMAR
1,1,153430,19-Oct,23,56,21295.568,16.0,1330.973,SMAR
4,2,153430,18-Feb,23,56,8708.064,6.0,1451.344,SMAR
1,3,153430,18-Feb,23,56,5304.424,4.0,1326.106,SMAR
1,2,153430,18-Dec,23,56,9634.79,6.0,1605.7983333333334,SMAR
4,1,153430,18-Jun,23,56,4496.636,4.0,1124.159,SMAR
3,1,153430,19-Jan,23,56,8787.17,7.0,1255.31,SMAR
4,2,153430,19-Oct,23,56,10012.434,6.0,1668.7389999999998,SMAR
1,6,153430,19-Aug,23,56,51316.452,33.0,1555.0439999999999,SMAR
4,2,153430,18-Feb,23,56,2902.688,2.0,1451.344,SMAR
4,3,153430,18-Dec,23,56,4469.469,3.0,1489.823,SMAR
1,2,153430,18-Aug,23,56,121398.108,78.0,1556.386,SMAR
4,6,153430,19-Jun,23,56,23358.855,15.0,1557.257,SMAR
1,1,153430,19-Aug,23,56,66548.65,50.0,1330.973,SMAR
4,6,153430,19-Sep,23,56,10885.308,7.0,1555.044,SMAR
4,6,153430,19-Nov,23,56,13995.396,9.0,1555.044,SMAR
1,2,153430,19-Nov,23,56,8343.695,5.0,1668.739,SMAR
4,3,153430,18-Mar,23,56,22543.802,17.0,1326.106,SMAR
4,1,153430,18-Aug,23,56,73812.922,62.0,1190.5310000000002,SMAR
2,1,153430,19-Jan,23,56,16319.03,13.0,1255.31,SMAR
3,3,153430,19-Jan,23,56,2976.46,2.0,1488.23,SMAR
1,6,153430,19-Apr,23,56,9343.542,6.0,1557.2569999999998,SMAR
4,2,153430,19-Mar,23,56,11237.058,7.0,1605.294,SMAR
4,2,153430,19-May,23,56,10025.04,6.0,1670.8400000000001,SMAR
1,1,153430,19-Jul,23,56,71903.524,54.0,1331.546740740741,SMAR
1,6,153430,19-Sep,23,56,24880.704,16.0,1555.044,SMAR
4,3,153430,18-Apr,23,56,15073.894,11.0,1370.354,SMAR
4,2,153430,18-Aug,23,56,14007.474,9.0,1556.386,SMAR
1,1,153430,18-Aug,23,56,46430.709,39.0,1190.5310000000002,SMAR
1,1,153430,19-May,23,56,63992.928,48.0,1333.186,SMAR
4,1,153430,19-Mar,23,56,71552.67,57.0,1255.31,SMAR
1,2,153430,19-Jul,23,56,20033.272,12.0,1669.4393333333335,SMAR
1,2,153430,19-Oct,23,56,3337.478,2.0,1668.739,SMAR
1,6,153430,19-Nov,23,56,4665.132,3.0,1555.0439999999999,SMAR
4,1,153430,18-Dec,23,56,64094.088,51.0,1256.7468235294118,SMAR
1,2,153430,18-Jul,23,56,24902.176,16.0,1556.386,SMAR
1,1,153430,18-Jun,23,56,25855.657,23.0,1124.1589999999999,SMAR
4,3,153430,19-Feb,23,56,17858.76,12.0,1488.2299999999998,SMAR
1,2,153430,19-Aug,23,56,43387.214,26.0,1668.739,SMAR
2,1,153430,19-Jul,23,56,11998.674,9.0,1333.1860000000001,SMAR
4,3,153430,18-Jan,23,56,18565.484,14.0,1326.106,SMAR
4,1,153430,18-Apr,23,56,67449.54,60.0,1124.1589999999999,SMAR
4,1,153430,18-Jul,23,56,57145.488,48.0,1190.531,SMAR
1,2,153430,19-Apr,23,56,43441.84,26.0,1670.84,SMAR
1,2,153430,19-Sep,23,56,20024.868,12.0,1668.7389999999998,SMAR
4,2,153430,19-Jun,23,56,11695.88,7.0,1670.84,SMAR
4,2,153430,19-Apr,23,56,5012.52,3.0,1670.8400000000001,SMAR
4,2,153430,19-Sep,23,56,6674.956,4.0,1668.739,SMAR
1,6,153430,19-Dec,23,56,24880.704,16.0,1555.044,SMAR
2,1,153430,18-Oct,23,56,7541.418,6.0,1256.903,SMAR
4,3,153430,18-Nov,23,56,5959.292,4.0,1489.823,SMAR
2,1,153430,19-Jun,23,56,39995.58,30.0,1333.1860000000001,SMAR
4,2,153430,19-Jul,23,56,6683.36,4.0,1670.84,SMAR
4,1,153430,18-Feb,23,56,15118.754,14.0,1079.911,SMAR
4,2,153430,18-Apr,23,56,11946.888,8.0,1493.361,SMAR
4,3,153430,19-Jan,23,56,11905.84,8.0,1488.23,SMAR
1,1,153430,18-Dec,23,56,22614.696,18.0,1256.372,SMAR
2,2,153430,19-Jan,23,56,3210.588,2.0,1605.294,SMAR
1,6,153430,19-Jul,23,56,17105.484,11.0,1555.044,SMAR
4,2,153430,18-Jan,23,56,10159.408,7.0,1451.3439999999998,SMAR
4,1,153430,18-Feb,23,56,45356.262,42.0,1079.911,SMAR
4,2,153430,18-Mar,23,56,10159.408,7.0,1451.3439999999998,SMAR
4,2,153430,18-Dec,23,56,3213.614,2.0,1606.807,SMAR
4,3,153430,18-Sep,23,56,14898.23,10.0,1489.8229999999999,SMAR
4,1,153430,18-Sep,23,56,98038.434,78.0,1256.903,SMAR
4,6,153430,19-Oct,23,56,18660.528,12.0,1555.0439999999999,SMAR
1,6,153430,19-May,23,56,32702.397,21.0,1557.257,SMAR
1,1,153430,19-Mar,23,56,37659.3,30.0,1255.3100000000002,SMAR
4,1,153430,19-Nov,23,56,55900.866,42.0,1330.973,SMAR
