NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
2,2,154310,18-Apr,4,22,20907.054,14.0,1493.361,SOLIMAN
2,1,154310,18-Dec,4,22,17591.863,14.0,1256.561642857143,SOLIMAN
2,1,154310,18-Jul,4,22,47621.24,40.0,1190.531,SOLIMAN
2,2,154310,18-Jan,4,22,13062.096,9.0,1451.344,SOLIMAN
3,1,154310,18-Apr,4,22,4496.636,4.0,1124.159,SOLIMAN
2,1,154310,18-Jun,4,22,26386.633,23.0,1147.2449130434784,SOLIMAN
3,2,154310,18-Nov,4,22,4820.421,3.0,1606.807,SOLIMAN
1,1,154310,18-Jun,4,22,7143.186,6.0,1190.531,SOLIMAN
2,2,154310,19-Mar,4,22,9631.764,6.0,1605.2939999999999,SOLIMAN
2,1,154310,19-Jul,4,22,67946.013,51.0,1332.2747647058825,SOLIMAN
2,1,154310,19-Aug,4,22,46584.055,35.0,1330.973,SOLIMAN
2,1,154310,19-Dec,4,22,25288.487,19.0,1330.973,SOLIMAN
2,1,154310,18-Apr,4,22,32600.611,29.0,1124.159,SOLIMAN
2,2,154310,18-Jun,4,22,19539.743,13.0,1503.0571538461538,SOLIMAN
2,2,154310,18-Nov,4,22,6427.228,4.0,1606.807,SOLIMAN
2,2,154310,19-Oct,4,22,5006.217,3.0,1668.7389999999998,SOLIMAN
2,1,154310,18-Jan,4,22,36716.974,34.0,1079.911,SOLIMAN
2,1,154310,18-Oct,4,22,15082.836,12.0,1256.903,SOLIMAN
2,2,154310,18-May,4,22,14933.61,10.0,1493.361,SOLIMAN
2,1,154310,19-May,4,22,15998.232,12.0,1333.186,SOLIMAN
2,1,154310,19-Mar,4,22,23850.89,19.0,1255.31,SOLIMAN
2,1,154310,18-Mar,4,22,32397.33,30.0,1079.911,SOLIMAN
2,1,154310,18-May,4,22,33724.77,30.0,1124.1589999999999,SOLIMAN
2,2,154310,18-Aug,4,22,17120.246,11.0,1556.386,SOLIMAN
1,2,154310,18-Aug,4,22,4669.158,3.0,1556.3860000000002,SOLIMAN
3,1,154310,18-Oct,4,22,10055.224,8.0,1256.903,SOLIMAN
2,2,154310,18-Oct,4,22,16068.07,10.0,1606.807,SOLIMAN
2,1,154310,19-Sep,4,22,33274.325,25.0,1330.973,SOLIMAN
2,2,154310,19-Jun,4,22,5012.52,3.0,1670.8400000000001,SOLIMAN
2,2,154310,19-May,4,22,15037.56,9.0,1670.84,SOLIMAN
3,2,154310,18-Apr,4,22,4480.083,3.0,1493.3609999999999,SOLIMAN
2,1,154310,18-Sep,4,22,31422.575,25.0,1256.903,SOLIMAN
2,1,154310,18-Feb,4,22,11879.021,11.0,1079.911,SOLIMAN
2,1,154310,19-Oct,4,22,27950.433,21.0,1330.973,SOLIMAN
2,2,154310,18-Feb,4,22,8708.064,6.0,1451.344,SOLIMAN
3,1,154310,18-Dec,4,22,3770.709,3.0,1256.903,SOLIMAN
2,2,154310,19-Feb,4,22,4815.882,3.0,1605.2939999999999,SOLIMAN
2,1,154310,19-Jun,4,22,39995.58,30.0,1333.1860000000001,SOLIMAN
2,2,154310,19-Jul,4,22,15024.954,9.0,1669.4393333333333,SOLIMAN
2,1,154310,19-Jan,4,22,15063.72,12.0,1255.31,SOLIMAN
2,1,154310,19-Apr,4,22,30663.278,23.0,1333.186,SOLIMAN
2,1,154310,18-Feb,4,22,23758.042,22.0,1079.911,SOLIMAN
2,1,154310,18-Nov,4,22,33936.381,27.0,1256.903,SOLIMAN
2,1,154310,18-Aug,4,22,28572.744,24.0,1190.531,SOLIMAN
2,2,154310,19-Apr,4,22,15037.56,9.0,1670.84,SOLIMAN
2,2,154310,19-Aug,4,22,5006.217,3.0,1668.7389999999998,SOLIMAN
2,1,154310,19-Nov,4,22,25288.487,19.0,1330.973,SOLIMAN
2,2,154310,18-Mar,4,22,11610.752,8.0,1451.344,SOLIMAN
3,3,154310,18-May,4,22,4111.062,3.0,1370.354,SOLIMAN
2,2,154310,18-Jul,4,22,24902.176,16.0,1556.386,SOLIMAN
2,2,154310,18-Sep,4,22,11247.649,7.0,1606.807,SOLIMAN
3,1,154310,19-Jan,4,22,3765.93,3.0,1255.31,SOLIMAN
2,1,154310,19-Feb,4,22,18829.65,15.0,1255.3100000000002,SOLIMAN
3,1,154310,19-May,4,22,11998.674,9.0,1333.1860000000001,SOLIMAN
2,2,154310,19-Sep,4,22,5006.217,3.0,1668.7389999999998,SOLIMAN
