NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
3,3,154500,18-Mar,1,43,214829.172,162.0,1326.106,SORTIE SUD Z4
2,1,154500,18-Mar,1,43,264578.195,245.0,1079.911,SORTIE SUD Z4
1,3,154500,19-Jan,1,43,47623.36,32.0,1488.23,SORTIE SUD Z4
2,2,154500,18-Jul,1,43,958733.776,616.0,1556.386,SORTIE SUD Z4
2,1,154500,18-Jul,1,43,341682.397,287.0,1190.531,SORTIE SUD Z4
3,5,154500,19-Jan,1,43,29365.488,18.0,1631.4160000000002,SORTIE SUD Z4
1,3,154500,18-Aug,1,43,34481.424,24.0,1436.7259999999999,SORTIE SUD Z4
2,1,154500,18-Jun,1,43,92861.418,78.0,1190.5310000000002,SORTIE SUD Z4
2,1,154500,19-Jun,1,43,375958.452,282.0,1333.186,SORTIE SUD Z4
2,6,154500,19-Oct,1,43,292348.272,188.0,1555.044,SORTIE SUD Z4
2,2,154500,19-Apr,1,43,872178.48,522.0,1670.84,SORTIE SUD Z4
2,5,154500,19-Dec,1,43,27313.28,16.0,1707.08,SORTIE SUD Z4
1,3,154500,18-Feb,1,43,108740.692,82.0,1326.106,SORTIE SUD Z4
3,3,154500,18-May,1,43,235700.888,172.0,1370.354,SORTIE SUD Z4
3,1,154500,18-Apr,1,43,7869.113,7.0,1124.159,SORTIE SUD Z4
2,6,154500,19-Sep,1,43,295458.36,190.0,1555.0439999999999,SORTIE SUD Z4
2,5,154500,19-Sep,1,43,20484.96,12.0,1707.08,SORTIE SUD Z4
3,6,154500,19-Oct,1,43,18660.528,12.0,1555.0439999999999,SORTIE SUD Z4
2,1,154500,18-May,1,43,296777.976,264.0,1124.159,SORTIE SUD Z4
2,2,154500,19-Jan,1,43,592353.486,369.0,1605.294,SORTIE SUD Z4
3,3,154500,18-Jul,1,43,271541.214,189.0,1436.7259999999999,SORTIE SUD Z4
2,1,154500,18-Aug,1,43,313109.653,263.0,1190.531,SORTIE SUD Z4
3,3,154500,18-Jun,1,43,175405.312,128.0,1370.354,SORTIE SUD Z4
3,2,154500,18-Nov,1,43,96408.42,60.0,1606.807,SORTIE SUD Z4
1,2,154500,19-Sep,1,43,155192.727,93.0,1668.739,SORTIE SUD Z4
2,1,154500,19-Dec,1,43,424580.387,319.0,1330.973,SORTIE SUD Z4
1,1,154500,18-Mar,1,43,14038.843,13.0,1079.911,SORTIE SUD Z4
2,3,154500,19-Apr,1,43,205557.924,132.0,1557.257,SORTIE SUD Z4
1,1,154500,18-May,1,43,15738.226,14.0,1124.159,SORTIE SUD Z4
3,1,154500,18-May,1,43,21359.021,19.0,1124.159,SORTIE SUD Z4
2,1,154500,18-Dec,1,43,361854.252,288.0,1256.438375,SORTIE SUD Z4
1,2,154500,19-Jan,1,43,208688.22,130.0,1605.294,SORTIE SUD Z4
3,1,154500,18-Jul,1,43,14286.372,12.0,1190.531,SORTIE SUD Z4
3,3,154500,18-Oct,1,43,241351.326,162.0,1489.823,SORTIE SUD Z4
2,1,154500,19-Feb,1,43,351486.8,280.0,1255.31,SORTIE SUD Z4
3,1,154500,19-Jul,1,43,21295.568,16.0,1330.973,SORTIE SUD Z4
2,6,154500,19-Dec,1,43,297013.404,191.0,1555.0439999999999,SORTIE SUD Z4
3,3,154500,19-Jan,1,43,212816.89,143.0,1488.23,SORTIE SUD Z4
3,1,154500,18-Nov,1,43,12569.03,10.0,1256.903,SORTIE SUD Z4
2,6,154500,19-Jun,1,43,289649.802,186.0,1557.257,SORTIE SUD Z4
3,5,154500,19-Mar,1,43,19576.992,12.0,1631.416,SORTIE SUD Z4
3,6,154500,19-Mar,1,43,261928.48,176.0,1488.23,SORTIE SUD Z4
2,2,154500,19-Aug,1,43,1051305.57,630.0,1668.739,SORTIE SUD Z4
2,6,154500,19-May,1,43,21801.598,14.0,1557.257,SORTIE SUD Z4
2,2,154500,18-May,1,43,719800.002,482.0,1493.3609999999999,SORTIE SUD Z4
1,2,154500,18-Aug,1,43,132292.81,85.0,1556.386,SORTIE SUD Z4
3,1,154500,18-Aug,1,43,23810.62,20.0,1190.531,SORTIE SUD Z4
3,3,154500,18-Dec,1,43,277025.835,186.0,1489.3862096774194,SORTIE SUD Z4
1,2,154500,18-Apr,1,43,8960.166,6.0,1493.3609999999999,SORTIE SUD Z4
2,2,154500,18-Dec,1,43,761381.412,474.0,1606.2898987341773,SORTIE SUD Z4
3,3,154500,18-Sep,1,43,289984.515,195.0,1487.100076923077,SORTIE SUD Z4
3,5,154500,18-Oct,1,43,21208.408,13.0,1631.416,SORTIE SUD Z4
1,3,154500,18-Oct,1,43,59592.92,40.0,1489.8229999999999,SORTIE SUD Z4
2,5,154500,19-Jun,1,43,18802.212,11.0,1709.292,SORTIE SUD Z4
2,1,154500,19-Mar,1,43,308806.26,246.0,1255.31,SORTIE SUD Z4
2,5,154500,19-May,1,43,32476.548,19.0,1709.292,SORTIE SUD Z4
2,2,154500,19-Jul,1,43,1110394.26,665.0,1669.7658045112782,SORTIE SUD Z4
2,6,154500,19-Nov,1,43,150839.268,97.0,1555.044,SORTIE SUD Z4
1,1,154500,18-Apr,1,43,53959.632,48.0,1124.1589999999999,SORTIE SUD Z4
2,2,154500,19-Feb,1,43,698302.89,435.0,1605.294,SORTIE SUD Z4
3,2,154500,18-Aug,1,43,136961.968,88.0,1556.386,SORTIE SUD Z4
2,1,154500,19-Sep,1,43,423249.414,318.0,1330.973,SORTIE SUD Z4
2,2,154500,19-Sep,1,43,674170.556,404.0,1668.739,SORTIE SUD Z4
2,1,154500,19-Aug,1,43,419256.495,315.0,1330.973,SORTIE SUD Z4
2,6,154500,19-Aug,1,43,348329.856,224.0,1555.044,SORTIE SUD Z4
2,2,154500,19-Dec,1,43,922812.667,553.0,1668.739,SORTIE SUD Z4
2,2,154500,18-Apr,1,43,682465.977,457.0,1493.3609999999999,SORTIE SUD Z4
2,1,154500,18-Apr,1,43,233825.072,208.0,1124.1589999999999,SORTIE SUD Z4
1,3,154500,18-May,1,43,9592.478,7.0,1370.3539999999998,SORTIE SUD Z4
3,2,154500,18-Dec,1,43,56238.245,35.0,1606.807,SORTIE SUD Z4
2,2,154500,18-Jun,1,43,238127.058,153.0,1556.386,SORTIE SUD Z4
3,3,154500,18-Nov,1,43,269657.963,181.0,1489.8229999999999,SORTIE SUD Z4
2,2,154500,19-Jun,1,43,927316.2,555.0,1670.84,SORTIE SUD Z4
2,2,154500,19-Nov,1,43,869413.019,521.0,1668.739,SORTIE SUD Z4
3,3,154500,18-Aug,1,43,272977.94,190.0,1436.726,SORTIE SUD Z4
3,5,154500,18-Jul,1,43,56819.484,36.0,1578.319,SORTIE SUD Z4
2,2,154500,18-Jun,1,43,537609.96,360.0,1493.3609999999999,SORTIE SUD Z4
1,1,154500,19-Jan,1,43,37659.3,30.0,1255.3100000000002,SORTIE SUD Z4
3,6,154500,19-Apr,1,43,68519.308,44.0,1557.257,SORTIE SUD Z4
3,5,154500,19-Apr,1,43,23930.088,14.0,1709.292,SORTIE SUD Z4
1,1,154500,19-Mar,1,43,60254.88,48.0,1255.31,SORTIE SUD Z4
1,2,154500,19-Aug,1,43,16687.39,10.0,1668.739,SORTIE SUD Z4
3,6,154500,19-Nov,1,43,146174.136,94.0,1555.044,SORTIE SUD Z4
2,1,154500,18-Feb,1,43,304534.902,282.0,1079.911,SORTIE SUD Z4
1,1,154500,18-Dec,1,43,43991.605,35.0,1256.903,SORTIE SUD Z4
2,1,154500,19-Jan,1,43,320104.05,255.0,1255.31,SORTIE SUD Z4
2,1,154500,18-Sep,1,43,351070.004,280.0,1253.821442857143,SORTIE SUD Z4
3,3,154500,18-Jun,1,43,83330.108,58.0,1436.7259999999999,SORTIE SUD Z4
2,1,154500,18-Jun,1,43,179865.44,160.0,1124.159,SORTIE SUD Z4
3,1,154500,18-Jun,1,43,32600.611,29.0,1124.159,SORTIE SUD Z4
1,3,154500,18-Dec,1,43,4469.469,3.0,1489.823,SORTIE SUD Z4
1,2,154500,19-Feb,1,43,99528.228,62.0,1605.294,SORTIE SUD Z4
3,1,154500,19-May,1,43,58660.184,44.0,1333.186,SORTIE SUD Z4
3,6,154500,19-May,1,43,14015.313,9.0,1557.257,SORTIE SUD Z4
2,5,154500,19-Aug,1,43,30727.44,18.0,1707.08,SORTIE SUD Z4
2,2,154500,18-Jan,1,43,600856.416,414.0,1451.3439999999998,SORTIE SUD Z4
2,2,154500,18-Mar,1,43,658910.176,454.0,1451.344,SORTIE SUD Z4
3,3,154500,18-Apr,1,43,237071.242,173.0,1370.354,SORTIE SUD Z4
2,2,154500,18-Nov,1,43,702174.659,437.0,1606.807,SORTIE SUD Z4
2,1,154500,18-Nov,1,43,351932.84,280.0,1256.903,SORTIE SUD Z4
2,1,154500,18-Oct,1,43,383355.415,305.0,1256.903,SORTIE SUD Z4
3,1,154500,18-Oct,1,43,23881.157,19.0,1256.903,SORTIE SUD Z4
2,2,154500,19-Oct,1,43,919475.189,551.0,1668.739,SORTIE SUD Z4
2,6,154500,19-Jul,1,43,340789.214,219.0,1556.1151324200912,SORTIE SUD Z4
2,1,154500,19-Jul,1,43,411622.524,309.0,1332.1117281553397,SORTIE SUD Z4
2,5,154500,19-Oct,1,43,27313.28,16.0,1707.08,SORTIE SUD Z4
2,1,154500,19-Nov,1,43,417925.522,314.0,1330.973,SORTIE SUD Z4
3,3,154500,18-Jan,1,43,236046.868,178.0,1326.106,SORTIE SUD Z4
2,2,154500,18-Aug,1,43,652125.734,419.0,1556.3860000000002,SORTIE SUD Z4
3,3,154500,19-Feb,1,43,267881.4,180.0,1488.23,SORTIE SUD Z4
3,5,154500,18-Nov,1,43,22839.824,14.0,1631.416,SORTIE SUD Z4
3,1,154500,19-Aug,1,43,11978.757,9.0,1330.973,SORTIE SUD Z4
2,2,154500,18-Feb,1,43,624077.92,430.0,1451.344,SORTIE SUD Z4
3,2,154500,18-Jan,1,43,101594.08,70.0,1451.344,SORTIE SUD Z4
3,1,154500,18-Mar,1,43,24837.953,23.0,1079.911,SORTIE SUD Z4
3,2,154500,19-Feb,1,43,3210.588,2.0,1605.294,SORTIE SUD Z4
3,5,154500,18-Sep,1,43,26102.656,16.0,1631.416,SORTIE SUD Z4
2,2,154500,19-May,1,43,817040.76,489.0,1670.84,SORTIE SUD Z4
1,2,154500,19-Mar,1,43,210293.514,131.0,1605.2939999999999,SORTIE SUD Z4
2,2,154500,19-Mar,1,43,608406.426,379.0,1605.2939999999999,SORTIE SUD Z4
2,5,154500,19-Nov,1,43,18777.88,11.0,1707.0800000000002,SORTIE SUD Z4
1,2,154500,18-Dec,1,43,81947.157,51.0,1606.807,SORTIE SUD Z4
3,1,154500,18-Sep,1,43,32679.478,26.0,1256.903,SORTIE SUD Z4
3,5,154500,18-Dec,1,43,30996.904,19.0,1631.416,SORTIE SUD Z4
2,1,154500,19-May,1,43,339962.43,255.0,1333.186,SORTIE SUD Z4
2,3,154500,19-May,1,43,267848.204,172.0,1557.257,SORTIE SUD Z4
2,5,154500,19-Jul,1,43,41003.1,24.0,1708.4624999999999,SORTIE SUD Z4
3,2,154500,19-Sep,1,43,81768.211,49.0,1668.7389999999998,SORTIE SUD Z4
3,6,154500,19-Jul,1,43,6220.176,4.0,1555.044,SORTIE SUD Z4
3,5,154500,18-Aug,1,43,44192.932,28.0,1578.319,SORTIE SUD Z4
2,2,154500,18-Sep,1,43,821122.133,512.0,1603.754166015625,SORTIE SUD Z4
2,2,154500,18-Oct,1,43,859641.745,535.0,1606.807,SORTIE SUD Z4
3,5,154500,19-Feb,1,43,29365.488,18.0,1631.4160000000002,SORTIE SUD Z4
2,1,154500,19-Apr,1,43,414620.846,311.0,1333.1860000000001,SORTIE SUD Z4
2,1,154500,19-Oct,1,43,447206.928,336.0,1330.973,SORTIE SUD Z4
2,5,154500,19-Apr,1,43,10255.752,6.0,1709.2920000000001,SORTIE SUD Z4
3,2,154500,19-Aug,1,43,65080.821,39.0,1668.739,SORTIE SUD Z4
3,3,154500,18-Feb,1,43,107414.586,81.0,1326.106,SORTIE SUD Z4
2,1,154500,18-Jan,1,43,330452.766,306.0,1079.911,SORTIE SUD Z4
2,6,154500,19-Mar,1,43,20835.22,14.0,1488.23,SORTIE SUD Z4
