NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
1,2,155360,18-Jan,16,38,58053.76,40.0,1451.344,SOUASSI
1,1,155360,18-Jan,16,38,233260.776,216.0,1079.911,SOUASSI
2,1,155360,18-Dec,16,38,51533.023,41.0,1256.903,SOUASSI
2,2,155360,18-Jul,16,38,15563.86,10.0,1556.386,SOUASSI
1,3,155360,18-Oct,16,38,35755.752,24.0,1489.823,SOUASSI
2,2,155360,18-Oct,16,38,4820.421,3.0,1606.807,SOUASSI
1,3,155360,19-Feb,16,38,35717.52,24.0,1488.2299999999998,SOUASSI
1,2,155360,18-Feb,16,38,66761.824,46.0,1451.3439999999998,SOUASSI
1,1,155360,18-Jul,16,38,189294.429,159.0,1190.531,SOUASSI
1,3,155360,19-Jan,16,38,31252.83,21.0,1488.23,SOUASSI
1,3,155360,18-Jun,16,38,40403.986,29.0,1393.240896551724,SOUASSI
1,6,155360,19-Apr,16,38,40488.682,26.0,1557.257,SOUASSI
3,3,155360,18-Jan,16,38,6630.53,5.0,1326.106,SOUASSI
1,3,155360,18-Dec,16,38,41699.114,28.0,1489.2540714285715,SOUASSI
1,2,155360,19-Nov,16,38,90111.906,54.0,1668.739,SOUASSI
1,1,155360,18-Feb,16,38,206263.001,191.0,1079.9109999999998,SOUASSI
1,3,155360,18-Nov,16,38,43204.867,29.0,1489.8229999999999,SOUASSI
3,3,155360,19-Jan,16,38,7441.15,5.0,1488.23,SOUASSI
1,2,155360,19-May,16,38,78529.48,47.0,1670.84,SOUASSI
1,6,155360,19-May,16,38,32702.397,21.0,1557.257,SOUASSI
1,2,155360,19-Mar,16,38,94712.346,59.0,1605.294,SOUASSI
1,2,155360,19-Oct,16,38,81768.211,49.0,1668.7389999999998,SOUASSI
1,3,155360,18-Jul,16,38,35918.15,25.0,1436.726,SOUASSI
1,6,155360,19-Sep,16,38,41986.188,27.0,1555.044,SOUASSI
1,6,155360,19-Aug,16,38,57536.628,37.0,1555.0439999999999,SOUASSI
1,1,155360,19-Jul,16,38,211795.108,159.0,1332.0447044025157,SOUASSI
4,3,155360,18-Jul,16,38,5746.904,4.0,1436.726,SOUASSI
3,2,155360,18-Aug,16,38,15563.86,10.0,1556.386,SOUASSI
1,3,155360,18-Feb,16,38,26522.12,20.0,1326.106,SOUASSI
1,1,155360,18-Mar,16,38,245139.797,227.0,1079.911,SOUASSI
1,3,155360,18-Mar,16,38,41109.286,31.0,1326.106,SOUASSI
1,1,155360,18-Dec,16,38,183413.851,146.0,1256.2592534246576,SOUASSI
1,2,155360,18-Sep,16,38,88374.385,55.0,1606.807,SOUASSI
1,1,155360,19-Feb,16,38,208381.46,166.0,1255.31,SOUASSI
1,2,155360,19-Dec,16,38,83436.95,50.0,1668.739,SOUASSI
1,3,155360,18-Jan,16,38,30500.438,23.0,1326.106,SOUASSI
3,3,155360,18-Apr,16,38,6851.77,5.0,1370.354,SOUASSI
1,1,155360,18-Aug,16,38,220248.235,185.0,1190.531,SOUASSI
1,3,155360,18-Aug,16,38,51722.136,36.0,1436.7259999999999,SOUASSI
1,2,155360,18-Nov,16,38,62665.473,39.0,1606.807,SOUASSI
1,1,155360,18-Nov,16,38,222471.831,177.0,1256.903,SOUASSI
1,2,155360,19-Feb,16,38,70632.936,44.0,1605.294,SOUASSI
1,2,155360,19-Jun,16,38,96908.72,58.0,1670.84,SOUASSI
1,6,155360,19-Jul,16,38,45125.045,29.0,1556.0360344827586,SOUASSI
1,1,155360,19-Oct,16,38,227596.383,171.0,1330.973,SOUASSI
3,3,155360,18-Feb,16,38,6630.53,5.0,1326.106,SOUASSI
1,2,155360,18-Dec,16,38,73882.862,46.0,1606.1491739130433,SOUASSI
1,1,155360,19-Jan,16,38,188296.5,150.0,1255.31,SOUASSI
1,1,155360,18-Oct,16,38,202361.383,161.0,1256.903,SOUASSI
1,2,155360,19-Sep,16,38,86774.428,52.0,1668.739,SOUASSI
1,3,155360,18-Apr,16,38,28777.434,21.0,1370.354,SOUASSI
1,2,155360,18-May,16,38,59734.44,40.0,1493.361,SOUASSI
1,1,155360,18-Jun,16,38,201701.56,176.0,1146.031590909091,SOUASSI
1,1,155360,18-Sep,16,38,248866.794,198.0,1256.903,SOUASSI
1,1,155360,19-Jun,16,38,101322.136,76.0,1333.186,SOUASSI
2,1,155360,19-Jun,16,38,83990.718,63.0,1333.186,SOUASSI
1,2,155360,19-Apr,16,38,83542.0,50.0,1670.84,SOUASSI
1,2,155360,19-Jul,16,38,93510.313,56.0,1669.8270178571427,SOUASSI
