NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
1,3,154210,18-Sep,13,25,4469.469,3.0,1489.823,SOUK JEDID
2,1,154210,18-Jul,13,39,3571.593,3.0,1190.531,SOUK JEDID
1,3,154210,18-Aug,13,25,2873.452,2.0,1436.726,SOUK JEDID
1,2,154210,18-Sep,13,39,28670.421,18.0,1592.8011666666666,SOUK JEDID
2,1,154210,18-Oct,13,39,11312.127,9.0,1256.903,SOUK JEDID
1,2,154210,19-Mar,13,39,30500.586,19.0,1605.2939999999999,SOUK JEDID
1,3,154210,19-Feb,13,25,4464.69,3.0,1488.2299999999998,SOUK JEDID
1,2,154210,19-Sep,13,39,33374.78,20.0,1668.739,SOUK JEDID
2,2,154210,18-Oct,13,39,4820.421,3.0,1606.807,SOUK JEDID
1,1,154210,18-Nov,13,39,18853.545,15.0,1256.9029999999998,SOUK JEDID
1,1,154210,19-Jun,13,39,27996.906,21.0,1333.186,SOUK JEDID
1,2,154210,19-Aug,13,39,63412.082,38.0,1668.739,SOUK JEDID
1,1,154210,18-Aug,13,25,20239.027,17.0,1190.531,SOUK JEDID
1,2,154210,18-Sep,13,25,3213.614,2.0,1606.807,SOUK JEDID
1,2,154210,19-Dec,13,39,38380.997,23.0,1668.739,SOUK JEDID
1,2,154210,18-Oct,13,25,3213.614,2.0,1606.807,SOUK JEDID
1,1,154210,19-Apr,13,39,66659.3,50.0,1333.1860000000001,SOUK JEDID
1,2,154210,19-Apr,13,39,51796.04,31.0,1670.84,SOUK JEDID
1,6,154210,19-May,13,39,12458.056,8.0,1557.257,SOUK JEDID
1,6,154210,19-Sep,13,39,12440.352,8.0,1555.044,SOUK JEDID
1,3,154210,18-Sep,13,39,8938.938,6.0,1489.823,SOUK JEDID
1,3,154210,18-Nov,13,25,8938.938,6.0,1489.823,SOUK JEDID
1,2,154210,18-Jul,13,25,4669.158,3.0,1556.3860000000002,SOUK JEDID
1,2,154210,19-Jun,13,25,10025.04,6.0,1670.8400000000001,SOUK JEDID
1,6,154210,19-Jun,13,25,4671.771,3.0,1557.2569999999998,SOUK JEDID
1,3,154210,18-Dec,13,39,16388.053,11.0,1489.823,SOUK JEDID
1,1,154210,18-Aug,13,39,15476.903,13.0,1190.531,SOUK JEDID
1,1,154210,18-Dec,13,39,62821.255,50.0,1256.4251,SOUK JEDID
1,2,154210,18-Nov,13,25,4820.421,3.0,1606.807,SOUK JEDID
1,6,154210,19-Jun,13,39,6229.028,4.0,1557.257,SOUK JEDID
1,1,154210,19-Mar,13,39,52723.02,42.0,1255.31,SOUK JEDID
1,2,154210,19-Nov,13,39,33374.78,20.0,1668.739,SOUK JEDID
1,1,154210,18-Jul,13,25,30953.806,26.0,1190.531,SOUK JEDID
3,2,154210,18-Aug,13,39,15563.86,10.0,1556.386,SOUK JEDID
1,1,154210,18-Nov,13,25,51533.023,41.0,1256.903,SOUK JEDID
1,6,154210,19-Nov,13,39,18660.528,12.0,1555.0439999999999,SOUK JEDID
1,6,154210,19-Dec,13,39,18660.528,12.0,1555.0439999999999,SOUK JEDID
1,2,154210,19-Jan,13,39,17658.234,11.0,1605.294,SOUK JEDID
1,2,154210,18-Aug,13,39,29571.334,19.0,1556.386,SOUK JEDID
1,3,154210,18-Oct,13,25,4469.469,3.0,1489.823,SOUK JEDID
1,2,154210,19-May,13,39,31745.96,19.0,1670.84,SOUK JEDID
1,1,154210,19-Aug,13,39,47915.028,36.0,1330.973,SOUK JEDID
1,1,154210,19-Oct,13,39,55900.866,42.0,1330.973,SOUK JEDID
1,2,154210,18-Dec,13,39,38546.725,24.0,1606.1135416666666,SOUK JEDID
2,2,154210,18-Jul,13,39,6225.544,4.0,1556.386,SOUK JEDID
1,1,154210,18-Oct,13,39,33936.381,27.0,1256.903,SOUK JEDID
2,1,154210,19-Jun,13,39,10665.488,8.0,1333.186,SOUK JEDID
1,6,154210,19-Mar,13,39,11905.84,8.0,1488.23,SOUK JEDID
1,2,154210,19-Jul,13,39,40068.645,24.0,1669.5268749999998,SOUK JEDID
1,1,154210,18-Sep,13,39,65952.139,53.0,1244.3799811320755,SOUK JEDID
3,3,154210,18-Nov,13,39,2979.646,2.0,1489.823,SOUK JEDID
1,2,154210,19-Feb,13,25,11237.058,7.0,1605.294,SOUK JEDID
1,6,154210,19-Jul,13,39,18671.593,12.0,1555.9660833333335,SOUK JEDID
1,2,154210,19-Oct,13,39,35043.519,21.0,1668.739,SOUK JEDID
1,6,154210,19-Oct,13,39,21770.616,14.0,1555.044,SOUK JEDID
1,1,154210,19-Dec,13,39,119787.57,90.0,1330.9730000000002,SOUK JEDID
1,1,154210,19-Jan,13,39,64020.81,51.0,1255.31,SOUK JEDID
1,3,154210,18-Jul,13,39,2873.452,2.0,1436.726,SOUK JEDID
1,2,154210,18-Oct,13,39,8034.035,5.0,1606.807,SOUK JEDID
1,3,154210,18-Oct,13,39,4469.469,3.0,1489.823,SOUK JEDID
1,3,154210,18-Nov,13,39,4469.469,3.0,1489.823,SOUK JEDID
1,3,154210,19-Feb,13,39,8929.38,6.0,1488.2299999999998,SOUK JEDID
1,2,154210,19-Jun,13,39,28404.28,17.0,1670.84,SOUK JEDID
1,1,154210,19-May,13,39,45328.324,34.0,1333.186,SOUK JEDID
1,1,154210,19-Sep,13,39,62555.731,47.0,1330.973,SOUK JEDID
2,2,154210,19-Jan,13,39,4815.882,3.0,1605.2939999999999,SOUK JEDID
3,3,154210,18-Aug,13,39,4310.178,3.0,1436.7259999999999,SOUK JEDID
1,1,154210,18-Sep,13,25,11312.127,9.0,1256.903,SOUK JEDID
1,2,154210,19-Feb,13,39,19263.528,12.0,1605.2939999999999,SOUK JEDID
1,6,154210,19-Apr,13,39,17129.827,11.0,1557.257,SOUK JEDID
1,6,154210,19-Aug,13,39,21770.616,14.0,1555.044,SOUK JEDID
1,1,154210,19-Nov,13,39,45253.082,34.0,1330.973,SOUK JEDID
3,2,154210,18-Nov,13,39,3213.614,2.0,1606.807,SOUK JEDID
3,1,154210,18-Nov,13,39,6284.515,5.0,1256.903,SOUK JEDID
2,1,154210,18-Dec,13,39,12569.03,10.0,1256.903,SOUK JEDID
2,1,154210,19-Jan,13,39,7531.86,6.0,1255.31,SOUK JEDID
1,3,154210,18-Jul,13,25,2873.452,2.0,1436.726,SOUK JEDID
1,3,154210,18-Aug,13,39,5746.904,4.0,1436.726,SOUK JEDID
1,2,154210,18-Aug,13,25,28014.948,18.0,1556.386,SOUK JEDID
1,1,154210,18-Oct,13,25,12569.03,10.0,1256.903,SOUK JEDID
1,1,154210,19-Feb,13,39,55233.64,44.0,1255.31,SOUK JEDID
1,1,154210,19-Feb,13,25,8787.17,7.0,1255.31,SOUK JEDID
1,1,154210,19-Jul,13,39,63950.881,48.0,1332.3100208333333,SOUK JEDID
1,3,154210,19-Jan,13,39,13394.07,9.0,1488.23,SOUK JEDID
3,1,154210,18-Aug,13,39,4762.124,4.0,1190.531,SOUK JEDID
1,2,154210,18-Nov,13,39,3213.614,2.0,1606.807,SOUK JEDID
