NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
3,3,151770,18-Feb,14,28,29174.332,22.0,1326.106,SOUSSE MED  ALI
3,3,151770,18-May,14,28,61665.93,45.0,1370.354,SOUSSE MED  ALI
1,2,151770,18-Dec,14,28,59451.859,37.0,1606.807,SOUSSE MED  ALI
3,4,151770,18-Dec,14,28,20995.968,12.0,1749.664,SOUSSE MED  ALI
3,3,151770,18-Jul,14,28,50285.41,35.0,1436.726,SOUSSE MED  ALI
1,1,151770,18-Aug,14,28,50002.302,42.0,1190.5310000000002,SOUSSE MED  ALI
3,2,151770,18-Aug,14,28,23345.79,15.0,1556.386,SOUSSE MED  ALI
2,4,151770,18-Dec,14,28,5248.992,3.0,1749.664,SOUSSE MED  ALI
1,1,151770,19-Apr,14,28,17331.418,13.0,1333.1860000000001,SOUSSE MED  ALI
1,5,151770,19-Jun,14,28,3418.584,2.0,1709.292,SOUSSE MED  ALI
2,2,151770,19-Aug,14,28,178555.073,107.0,1668.739,SOUSSE MED  ALI
2,4,151770,19-Aug,14,28,3643.024,2.0,1821.512,SOUSSE MED  ALI
3,1,151770,18-Aug,14,28,11905.31,10.0,1190.531,SOUSSE MED  ALI
3,5,151770,18-Jul,14,28,9469.914,6.0,1578.3190000000002,SOUSSE MED  ALI
2,4,151770,18-Aug,14,28,10195.464,6.0,1699.244,SOUSSE MED  ALI
1,2,151770,18-Jun,14,28,128385.26,85.0,1510.4148235294117,SOUSSE MED  ALI
3,1,151770,18-Sep,14,28,7541.418,6.0,1256.903,SOUSSE MED  ALI
2,1,151770,18-Nov,14,28,160883.584,128.0,1256.903,SOUSSE MED  ALI
3,2,151770,18-Dec,14,28,9640.842,6.0,1606.807,SOUSSE MED  ALI
1,2,151770,19-Jun,14,28,93567.04,56.0,1670.84,SOUSSE MED  ALI
1,6,151770,19-Jun,14,28,17129.827,11.0,1557.257,SOUSSE MED  ALI
1,1,151770,19-May,14,28,13331.86,10.0,1333.1860000000001,SOUSSE MED  ALI
2,5,151770,19-Jul,14,28,6837.168,4.0,1709.292,SOUSSE MED  ALI
2,2,151770,19-Nov,14,28,203586.158,122.0,1668.739,SOUSSE MED  ALI
2,1,151770,18-Apr,14,28,140519.875,125.0,1124.159,SOUSSE MED  ALI
2,2,151770,18-May,14,28,47787.552,32.0,1493.361,SOUSSE MED  ALI
1,1,151770,18-Apr,14,28,25855.657,23.0,1124.1589999999999,SOUSSE MED  ALI
1,2,151770,19-Jan,14,28,67422.348,42.0,1605.2939999999999,SOUSSE MED  ALI
2,4,151770,19-Jan,14,28,15746.976,9.0,1749.664,SOUSSE MED  ALI
1,3,151770,18-Jul,14,28,12930.534,9.0,1436.7259999999999,SOUSSE MED  ALI
3,3,151770,18-Oct,14,28,46184.513,31.0,1489.8229999999999,SOUSSE MED  ALI
3,5,151770,18-Sep,14,28,9788.496,6.0,1631.416,SOUSSE MED  ALI
3,1,151770,18-Nov,14,28,7541.418,6.0,1256.903,SOUSSE MED  ALI
1,5,151770,19-Apr,14,28,3418.584,2.0,1709.292,SOUSSE MED  ALI
1,2,151770,19-Aug,14,28,60074.604,36.0,1668.739,SOUSSE MED  ALI
2,2,151770,19-Jul,14,28,200339.023,120.0,1669.4918583333333,SOUSSE MED  ALI
3,6,151770,19-Nov,14,28,6220.176,4.0,1555.044,SOUSSE MED  ALI
2,5,151770,19-Oct,14,28,8535.4,5.0,1707.08,SOUSSE MED  ALI
2,6,151770,19-Dec,14,28,65311.848,42.0,1555.0439999999999,SOUSSE MED  ALI
2,1,151770,18-Dec,14,28,189717.482,151.0,1256.4071655629139,SOUSSE MED  ALI
3,5,151770,18-Dec,14,28,21208.408,13.0,1631.416,SOUSSE MED  ALI
1,1,151770,18-Jun,14,28,134708.294,118.0,1141.5957118644067,SOUSSE MED  ALI
