NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
1,2,154250,18-Mar,14,28,98691.392,68.0,1451.344,SOUSSE REPUB
1,1,154250,18-Apr,14,28,43842.201,39.0,1124.159,SOUSSE REPUB
1,1,154250,18-Nov,14,28,7541.418,6.0,1256.903,SOUSSE REPUB
3,1,154250,18-Jul,14,28,7143.186,6.0,1190.531,SOUSSE REPUB
1,3,154250,18-Jun,14,28,6851.77,5.0,1370.354,SOUSSE REPUB
1,2,154250,19-Feb,14,28,27289.998,17.0,1605.2939999999999,SOUSSE REPUB
1,2,154250,19-Jul,14,28,11695.88,7.0,1670.84,SOUSSE REPUB
2,1,154250,19-Nov,14,28,73203.515,55.0,1330.973,SOUSSE REPUB
1,2,154250,18-May,14,28,83628.216,56.0,1493.361,SOUSSE REPUB
3,1,154250,19-Jan,14,28,20084.96,16.0,1255.31,SOUSSE REPUB
1,3,154250,18-Aug,14,28,7183.63,5.0,1436.726,SOUSSE REPUB
3,3,154250,18-Oct,14,28,13408.407,9.0,1489.8229999999999,SOUSSE REPUB
3,2,154250,19-Jun,14,28,10025.04,6.0,1670.8400000000001,SOUSSE REPUB
1,1,154250,19-Apr,14,28,17331.418,13.0,1333.1860000000001,SOUSSE REPUB
1,1,154250,18-Jan,14,28,62634.838,58.0,1079.911,SOUSSE REPUB
2,2,154250,18-Mar,14,28,5805.376,4.0,1451.344,SOUSSE REPUB
1,3,154250,18-Nov,14,28,4469.469,3.0,1489.823,SOUSSE REPUB
3,2,154250,18-Aug,14,28,10894.702,7.0,1556.386,SOUSSE REPUB
1,1,154250,18-Sep,14,28,54046.829,43.0,1256.903,SOUSSE REPUB
1,1,154250,18-Jun,14,28,51516.363,45.0,1144.8080666666667,SOUSSE REPUB
2,2,154250,18-Oct,14,28,54631.438,34.0,1606.807,SOUSSE REPUB
1,6,154250,19-Jun,14,28,18687.084,12.0,1557.2569999999998,SOUSSE REPUB
2,3,154250,19-Apr,14,28,18687.084,12.0,1557.2569999999998,SOUSSE REPUB
3,6,154250,19-Apr,14,28,6229.028,4.0,1557.257,SOUSSE REPUB
3,6,154250,19-Nov,14,28,13995.396,9.0,1555.044,SOUSSE REPUB
1,3,154250,18-May,14,28,4111.062,3.0,1370.354,SOUSSE REPUB
1,1,154250,18-Dec,14,28,7541.418,6.0,1256.903,SOUSSE REPUB
3,2,154250,19-Jan,14,28,19263.528,12.0,1605.2939999999999,SOUSSE REPUB
2,3,154250,19-May,14,28,31145.14,20.0,1557.257,SOUSSE REPUB
1,6,154250,19-Apr,14,28,6229.028,4.0,1557.257,SOUSSE REPUB
1,1,154250,19-Jun,14,28,9332.302,7.0,1333.186,SOUSSE REPUB
2,2,154250,18-Feb,14,28,4354.032,3.0,1451.344,SOUSSE REPUB
3,3,154250,18-Mar,14,28,18565.484,14.0,1326.106,SOUSSE REPUB
2,1,154250,18-Apr,14,28,14614.067,13.0,1124.1589999999999,SOUSSE REPUB
3,3,154250,19-Jan,14,28,25299.91,17.0,1488.23,SOUSSE REPUB
1,3,154250,18-Jul,14,28,5746.904,4.0,1436.726,SOUSSE REPUB
3,3,154250,18-Sep,14,28,25326.991,17.0,1489.823,SOUSSE REPUB
2,2,154250,19-Jun,14,28,26733.44,16.0,1670.84,SOUSSE REPUB
2,6,154250,19-Aug,14,28,37321.056,24.0,1555.0439999999999,SOUSSE REPUB
2,6,154250,19-Dec,14,28,23325.66,15.0,1555.044,SOUSSE REPUB
3,3,154250,18-Jan,14,28,17239.378,13.0,1326.106,SOUSSE REPUB
3,1,154250,18-Aug,14,28,7143.186,6.0,1190.531,SOUSSE REPUB
3,3,154250,18-Jun,14,28,23694.25,17.0,1393.7794117647059,SOUSSE REPUB
2,2,154250,19-Mar,14,28,80264.7,50.0,1605.2939999999999,SOUSSE REPUB
2,1,154250,19-Dec,14,28,74534.488,56.0,1330.973,SOUSSE REPUB
3,2,154250,18-Jan,14,28,10159.408,7.0,1451.3439999999998,SOUSSE REPUB
2,2,154250,19-Jan,14,28,67422.348,42.0,1605.2939999999999,SOUSSE REPUB
2,2,154250,18-Jul,14,28,14007.474,9.0,1556.386,SOUSSE REPUB
2,1,154250,18-Sep,14,28,10055.224,8.0,1256.903,SOUSSE REPUB
2,1,154250,19-Feb,14,28,62765.5,50.0,1255.31,SOUSSE REPUB
2,1,154250,19-May,14,28,73325.23,55.0,1333.186,SOUSSE REPUB
2,2,154250,19-May,14,28,125313.0,75.0,1670.84,SOUSSE REPUB
2,1,154250,19-Jun,14,28,59993.37,45.0,1333.1860000000001,SOUSSE REPUB
2,1,154250,19-Apr,14,28,58660.184,44.0,1333.186,SOUSSE REPUB
2,2,154250,19-Aug,14,28,121817.947,73.0,1668.739,SOUSSE REPUB
1,2,154250,19-Mar,14,28,35316.468,22.0,1605.294,SOUSSE REPUB
2,1,154250,19-Jul,14,28,91907.953,69.0,1331.9993188405797,SOUSSE REPUB
