NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
2,1,155820,18-Feb,14,39,103671.456,96.0,1079.911,S. KHELIFA pk72 
1,1,155820,18-Feb,14,39,132829.053,123.0,1079.911,S. KHELIFA pk72 
1,2,155820,18-Aug,14,39,146300.284,94.0,1556.3860000000002,S. KHELIFA pk72 
3,3,155820,18-Jun,14,39,146011.074,105.0,1390.581657142857,S. KHELIFA pk72 
3,4,155820,19-Feb,14,39,8748.32,5.0,1749.664,S. KHELIFA pk72 
1,2,155820,19-Feb,14,39,38527.056,24.0,1605.2939999999999,S. KHELIFA pk72 
1,1,155820,19-Mar,14,39,72807.98,58.0,1255.31,S. KHELIFA pk72 
1,2,155820,19-Mar,14,39,168555.87,105.0,1605.2939999999999,S. KHELIFA pk72 
2,6,155820,19-Jul,14,39,248946.459,160.0,1555.91536875,S. KHELIFA pk72 
2,5,155820,19-Aug,14,39,8535.4,5.0,1707.08,S. KHELIFA pk72 
1,2,155820,18-Jan,14,39,211896.224,146.0,1451.3439999999998,S. KHELIFA pk72 
1,3,155820,18-Mar,14,39,55696.452,42.0,1326.106,S. KHELIFA pk72 
2,4,155820,18-Aug,14,39,32285.636,19.0,1699.244,S. KHELIFA pk72 
1,3,155820,18-Dec,14,39,17868.318,12.0,1489.0265,S. KHELIFA pk72 
3,5,155820,18-Dec,14,39,9788.496,6.0,1631.416,S. KHELIFA pk72 
1,3,155820,18-Jun,14,39,23561.506,17.0,1385.9709411764707,S. KHELIFA pk72 
2,4,155820,18-Oct,14,39,12247.648,7.0,1749.664,S. KHELIFA pk72 
2,1,155820,18-Nov,14,39,286573.884,228.0,1256.903,S. KHELIFA pk72 
2,2,155820,19-May,14,39,337509.68,202.0,1670.84,S. KHELIFA pk72 
2,6,155820,19-Oct,14,39,205265.808,132.0,1555.0439999999999,S. KHELIFA pk72 
2,1,155820,18-Mar,14,39,128509.409,119.0,1079.911,S. KHELIFA pk72 
2,1,155820,18-Jul,14,39,188103.898,158.0,1190.531,S. KHELIFA pk72 
2,2,155820,18-Aug,14,39,409329.518,263.0,1556.386,S. KHELIFA pk72 
1,2,155820,19-Jan,14,39,83475.288,52.0,1605.294,S. KHELIFA pk72 
2,1,155820,19-Feb,14,39,194573.05,155.0,1255.31,S. KHELIFA pk72 
3,3,155820,18-Nov,14,39,187717.698,126.0,1489.823,S. KHELIFA pk72 
3,1,155820,18-Jun,14,39,30750.525,27.0,1138.9083333333333,S. KHELIFA pk72 
1,1,155820,18-Jun,14,39,86763.524,76.0,1141.6253157894737,S. KHELIFA pk72 
