NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
1,2,155610,18-Jan,20,62,34832.256,24.0,1451.344,S. LAHED .K
1,3,155610,18-Jun,20,62,36093.808,26.0,1388.2233846153845,S. LAHED .K
1,3,155610,19-Feb,20,62,37205.75,25.0,1488.23,S. LAHED .K
1,3,155610,18-Sep,20,62,47674.336,32.0,1489.823,S. LAHED .K
1,2,155610,19-Aug,20,62,60074.604,36.0,1668.739,S. LAHED .K
1,1,155610,19-Dec,20,62,119787.57,90.0,1330.9730000000002,S. LAHED .K
1,3,155610,18-May,20,62,34258.85,25.0,1370.354,S. LAHED .K
1,1,155610,19-Jan,20,62,107956.66,86.0,1255.31,S. LAHED .K
1,2,155610,19-Apr,20,62,58479.4,35.0,1670.8400000000001,S. LAHED .K
1,6,155610,19-Jun,20,62,45160.453,29.0,1557.257,S. LAHED .K
1,6,155610,19-Aug,20,62,46651.32,30.0,1555.044,S. LAHED .K
2,1,155610,19-Jul,20,12,21330.976,16.0,1333.186,S. LAHED .K
1,6,155610,19-Nov,20,62,49761.408,32.0,1555.044,S. LAHED .K
1,3,155610,18-Mar,20,62,47739.816,36.0,1326.106,S. LAHED .K
1,3,155610,18-Feb,20,62,37130.968,28.0,1326.106,S. LAHED .K
1,2,155610,18-Jul,20,62,26458.562,17.0,1556.3860000000002,S. LAHED .K
1,2,155610,19-Feb,20,62,43342.938,27.0,1605.294,S. LAHED .K
1,1,155610,19-May,20,62,62659.742,47.0,1333.186,S. LAHED .K
1,1,155610,19-Aug,20,62,78527.407,59.0,1330.9730000000002,S. LAHED .K
1,1,155610,19-Jul,20,62,114587.606,86.0,1332.4140232558138,S. LAHED .K
1,3,155610,18-Apr,20,62,26036.726,19.0,1370.354,S. LAHED .K
1,1,155610,18-Apr,20,62,94429.356,84.0,1124.159,S. LAHED .K
1,3,155610,19-Jan,20,62,49111.59,33.0,1488.2299999999998,S. LAHED .K
3,1,155610,18-Aug,20,12,16667.434,14.0,1190.5310000000002,S. LAHED .K
1,2,155610,18-Jun,20,62,34725.453,23.0,1509.802304347826,S. LAHED .K
1,1,155610,18-Sep,20,62,89240.113,71.0,1256.903,S. LAHED .K
1,2,155610,18-Dec,20,62,49789.835,31.0,1606.1237096774194,S. LAHED .K
1,2,155610,19-Nov,20,62,60074.604,36.0,1668.739,S. LAHED .K
3,3,155610,18-Jan,20,62,7956.636,6.0,1326.106,S. LAHED .K
1,1,155610,18-Nov,20,62,153342.166,122.0,1256.903,S. LAHED .K
1,1,155610,18-Aug,20,62,92861.418,78.0,1190.5310000000002,S. LAHED .K
1,2,155610,18-Oct,20,62,36956.561,23.0,1606.807,S. LAHED .K
1,6,155610,19-Jul,20,62,29576.818,19.0,1556.6746315789474,S. LAHED .K
1,1,155610,19-Sep,20,62,110470.759,83.0,1330.973,S. LAHED .K
