NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
2,2,155630,19-Apr,14,28,287384.48,172.0,1670.84,S. LAHED .S
2,1,155630,18-May,14,28,123657.49,110.0,1124.159,S. LAHED .S
1,3,155630,18-Jul,14,28,25861.068,18.0,1436.7259999999999,S. LAHED .S
2,4,155630,18-Aug,14,28,15293.196,9.0,1699.244,S. LAHED .S
1,3,155630,18-Jun,14,28,20114.164,14.0,1436.726,S. LAHED .S
1,1,155630,18-Nov,14,28,6284.515,5.0,1256.903,S. LAHED .S
2,1,155630,19-May,14,28,501277.936,376.0,1333.186,S. LAHED .S
2,2,155630,19-Oct,14,28,332079.061,199.0,1668.739,S. LAHED .S
2,2,155630,19-Jun,14,28,165413.16,99.0,1670.8400000000001,S. LAHED .S
1,2,155630,19-Mar,14,28,123607.638,77.0,1605.294,S. LAHED .S
2,4,155630,19-May,14,28,27354.195,15.0,1823.613,S. LAHED .S
2,6,155630,19-Jul,14,28,112029.558,72.0,1555.9660833333335,S. LAHED .S
2,5,155630,19-Sep,14,28,13656.64,8.0,1707.08,S. LAHED .S
2,1,155630,19-Apr,14,28,567937.236,426.0,1333.1860000000001,S. LAHED .S
3,3,155630,18-Apr,14,28,94554.426,69.0,1370.354,S. LAHED .S
2,4,155630,19-Jan,14,28,8748.32,5.0,1749.664,S. LAHED .S
1,2,155630,18-Aug,14,28,211668.496,136.0,1556.3860000000002,S. LAHED .S
3,2,155630,18-Oct,14,28,16068.07,10.0,1606.807,S. LAHED .S
3,2,155630,18-Nov,14,28,19281.684,12.0,1606.807,S. LAHED .S
2,1,155630,19-Jun,14,28,666593.0,500.0,1333.186,S. LAHED .S
1,2,155630,19-Sep,14,28,73424.516,44.0,1668.739,S. LAHED .S
2,5,155630,19-Dec,14,28,5121.24,3.0,1707.08,S. LAHED .S
1,1,155630,18-Jan,14,28,350971.075,325.0,1079.911,S. LAHED .S
1,3,155630,18-Jan,14,28,11934.954,9.0,1326.106,S. LAHED .S
1,2,155630,18-Mar,14,28,165453.216,114.0,1451.3439999999998,S. LAHED .S
2,2,155630,18-Mar,14,28,111753.488,77.0,1451.344,S. LAHED .S
2,2,155630,18-Apr,14,28,55254.357,37.0,1493.361,S. LAHED .S
2,2,155630,18-Dec,14,28,232900.774,145.0,1606.2122344827587,S. LAHED .S
2,1,155630,19-Feb,14,28,394167.34,314.0,1255.3100000000002,S. LAHED .S
1,1,155630,18-Aug,14,28,253583.103,213.0,1190.531,S. LAHED .S
3,2,155630,18-Aug,14,28,20233.018,13.0,1556.386,S. LAHED .S
3,3,155630,18-Jun,14,28,12930.534,9.0,1436.7259999999999,S. LAHED .S
1,2,155630,18-Sep,14,28,163490.946,102.0,1602.852411764706,S. LAHED .S
