NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
2,1,153550,18-May,8,1,15738.226,14.0,1124.159,TABARKA
3,2,153550,18-Jul,8,1,52917.124,34.0,1556.3860000000002,TABARKA
3,2,153550,19-Mar,8,1,38527.056,24.0,1605.2939999999999,TABARKA
3,6,153550,19-Mar,8,1,22323.45,15.0,1488.23,TABARKA
3,1,153550,18-Jan,8,1,105831.278,98.0,1079.911,TABARKA
3,1,153550,18-Nov,8,1,80441.792,64.0,1256.903,TABARKA
3,3,153550,18-Dec,8,1,29786.902,20.0,1489.3451,TABARKA
3,1,153550,18-Oct,8,1,91753.919,73.0,1256.903,TABARKA
3,3,153550,18-Nov,8,1,26816.814,18.0,1489.8229999999999,TABARKA
3,1,153550,19-Nov,8,1,83851.299,63.0,1330.973,TABARKA
3,1,153550,18-Apr,8,1,95553.515,85.0,1124.159,TABARKA
2,2,153550,18-May,8,1,7466.805,5.0,1493.361,TABARKA
3,1,153550,18-Dec,8,1,82931.703,66.0,1256.5409545454545,TABARKA
3,2,153550,19-Jan,8,1,48158.82,30.0,1605.294,TABARKA
3,1,153550,18-Jul,8,1,96433.011,81.0,1190.531,TABARKA
3,3,153550,18-Aug,8,1,45975.232,32.0,1436.726,TABARKA
3,1,153550,18-Aug,8,1,117862.569,99.0,1190.531,TABARKA
3,2,153550,18-Jun,8,1,46924.441,31.0,1513.6916451612904,TABARKA
3,6,153550,19-May,8,1,20244.341,13.0,1557.257,TABARKA
3,6,153550,19-Sep,8,1,21770.616,14.0,1555.044,TABARKA
3,1,153550,19-Sep,8,1,75865.461,57.0,1330.973,TABARKA
3,3,153550,18-Jan,8,1,25196.014,19.0,1326.106,TABARKA
3,2,153550,18-Feb,8,1,21770.16,15.0,1451.344,TABARKA
3,3,153550,18-Apr,8,1,27407.08,20.0,1370.354,TABARKA
3,2,153550,18-May,8,1,25387.137,17.0,1493.3609999999999,TABARKA
3,2,153550,18-Dec,8,1,44973.953,28.0,1606.2126071428572,TABARKA
3,1,153550,18-Jun,8,1,85904.853,75.0,1145.39804,TABARKA
3,3,153550,18-Oct,8,1,22347.345,15.0,1489.823,TABARKA
3,2,153550,18-Oct,8,1,36956.561,23.0,1606.807,TABARKA
3,2,153550,19-Jun,8,1,38429.32,23.0,1670.84,TABARKA
3,1,153550,19-Apr,8,1,86657.09,65.0,1333.186,TABARKA
3,2,153550,18-Mar,8,1,36283.6,25.0,1451.344,TABARKA
3,3,153550,18-May,8,1,26036.726,19.0,1370.354,TABARKA
3,3,153550,19-Jan,8,1,34229.29,23.0,1488.23,TABARKA
3,2,153550,18-Aug,8,1,73150.142,47.0,1556.3860000000002,TABARKA
3,2,153550,19-Apr,8,1,38429.32,23.0,1670.84,TABARKA
3,3,153550,18-Feb,8,1,6630.53,5.0,1326.106,TABARKA
3,1,153550,18-Mar,8,1,101511.634,94.0,1079.911,TABARKA
3,3,153550,18-Jun,8,1,30612.392,22.0,1391.4723636363635,TABARKA
3,6,153550,19-Jul,8,1,31125.223,20.0,1556.26115,TABARKA
3,2,153550,18-Feb,8,1,11610.752,8.0,1451.344,TABARKA
3,2,153550,18-Apr,8,1,40320.747,27.0,1493.361,TABARKA
3,3,153550,19-Feb,8,1,23811.68,16.0,1488.23,TABARKA
3,1,153550,19-Jun,8,1,87990.276,66.0,1333.186,TABARKA
3,1,153550,19-Mar,8,1,79084.53,63.0,1255.31,TABARKA
3,6,153550,19-Jun,8,1,18687.084,12.0,1557.2569999999998,TABARKA
3,1,153550,18-May,8,1,59580.427,53.0,1124.159,TABARKA
3,2,153550,18-Nov,8,1,38563.368,24.0,1606.807,TABARKA
3,2,153550,19-Aug,8,1,63412.082,38.0,1668.739,TABARKA
3,2,153550,19-Nov,8,1,30037.302,18.0,1668.739,TABARKA
3,2,153550,18-Jan,8,1,39186.288,27.0,1451.344,TABARKA
3,1,153550,18-Feb,8,1,60475.016,56.0,1079.911,TABARKA
3,3,153550,18-Mar,8,1,23869.908,18.0,1326.106,TABARKA
3,3,153550,18-Sep,8,1,31073.895,21.0,1479.7092857142857,TABARKA
3,6,153550,19-Oct,8,1,17105.484,11.0,1555.044,TABARKA
3,2,153550,19-Dec,8,1,43387.214,26.0,1668.739,TABARKA
