NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
2,2,150750,18-Jan,12,1,13062.096,9.0,1451.344,TAHLA
2,2,150750,18-Feb,12,1,2902.688,2.0,1451.344,TAHLA
3,1,150750,18-Aug,12,1,50002.302,42.0,1190.5310000000002,TAHLA
1,2,150750,18-Apr,12,1,5973.444,4.0,1493.361,TAHLA
3,3,150750,18-Jun,12,1,20555.31,15.0,1370.354,TAHLA
1,2,150750,19-Jan,12,1,6421.176,4.0,1605.294,TAHLA
2,1,150750,19-Oct,12,1,171695.517,129.0,1330.973,TAHLA
2,1,150750,19-Dec,12,1,203638.869,153.0,1330.973,TAHLA
2,2,150750,18-Mar,12,1,18867.472,13.0,1451.344,TAHLA
1,3,150750,18-Apr,12,1,8222.124,6.0,1370.354,TAHLA
3,3,150750,18-May,12,1,21925.664,16.0,1370.354,TAHLA
3,1,150750,18-May,12,1,7869.113,7.0,1124.159,TAHLA
3,1,150750,18-Jul,12,1,7143.186,6.0,1190.531,TAHLA
3,2,150750,18-Sep,12,1,6427.228,4.0,1606.807,TAHLA
1,1,150750,19-Feb,12,1,25106.2,20.0,1255.31,TAHLA
1,2,150750,19-May,12,1,16708.4,10.0,1670.8400000000001,TAHLA
2,1,150750,19-Aug,12,1,135759.246,102.0,1330.9730000000002,TAHLA
2,2,150750,19-Nov,12,1,16687.39,10.0,1668.739,TAHLA
1,1,150750,18-May,12,1,38221.406,34.0,1124.159,TAHLA
3,1,150750,19-Jan,12,1,13808.41,11.0,1255.31,TAHLA
2,2,150750,18-Jul,12,1,14007.474,9.0,1556.386,TAHLA
3,1,150750,18-Dec,12,1,20100.89,16.0,1256.305625,TAHLA
1,1,150750,18-Oct,12,1,7541.418,6.0,1256.903,TAHLA
3,3,150750,19-Jan,12,1,14882.3,10.0,1488.23,TAHLA
2,1,150750,19-Jun,12,1,146650.46,110.0,1333.186,TAHLA
2,2,150750,19-Mar,12,1,20868.822,13.0,1605.294,TAHLA
1,6,150750,19-Jun,12,1,6229.028,4.0,1557.257,TAHLA
2,2,150750,19-Aug,12,1,40049.736,24.0,1668.7389999999998,TAHLA
1,1,150750,19-Sep,12,1,17302.649,13.0,1330.9730000000002,TAHLA
1,2,150750,19-Sep,12,1,6674.956,4.0,1668.739,TAHLA
3,3,150750,18-Apr,12,1,5481.416,4.0,1370.354,TAHLA
2,1,150750,18-Jul,12,1,79765.577,67.0,1190.5310000000002,TAHLA
1,1,150750,18-Jul,12,1,17857.965,15.0,1190.531,TAHLA
2,1,150750,18-Aug,12,1,69050.798,58.0,1190.531,TAHLA
2,1,150750,18-Jun,12,1,52445.571,45.0,1165.4571333333333,TAHLA
3,1,150750,18-Nov,12,1,13825.933,11.0,1256.903,TAHLA
2,6,150750,19-Oct,12,1,24880.704,16.0,1555.044,TAHLA
3,2,150750,18-Feb,12,1,4354.032,3.0,1451.344,TAHLA
2,1,150750,18-Mar,12,1,74513.859,69.0,1079.911,TAHLA
2,2,150750,18-Oct,12,1,6427.228,4.0,1606.807,TAHLA
2,2,150750,19-Jun,12,1,10025.04,6.0,1670.8400000000001,TAHLA
2,2,150750,19-Dec,12,1,33374.78,20.0,1668.739,TAHLA
1,1,150750,18-Mar,12,1,10799.11,10.0,1079.911,TAHLA
2,2,150750,18-Apr,12,1,5973.444,4.0,1493.361,TAHLA
2,2,150750,18-May,12,1,20907.054,14.0,1493.361,TAHLA
3,3,150750,18-Oct,12,1,16388.053,11.0,1489.823,TAHLA
