NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
1,2,150460,18-May,23,37,7466.805,5.0,1493.361,TATAOUINE
4,1,150460,18-Jun,23,37,20239.027,17.0,1190.531,TATAOUINE
4,2,150460,18-Nov,23,37,35349.754,22.0,1606.807,TATAOUINE
4,2,150460,19-Feb,23,37,65817.054,41.0,1605.294,TATAOUINE
1,6,150460,19-Jun,23,37,29587.883,19.0,1557.257,TATAOUINE
4,3,150460,19-Jan,23,37,8929.38,6.0,1488.2299999999998,TATAOUINE
2,2,150460,18-Aug,23,37,10894.702,7.0,1556.386,TATAOUINE
4,2,150460,18-Sep,23,37,77126.736,48.0,1606.807,TATAOUINE
4,3,150460,19-Feb,23,37,75899.73,51.0,1488.23,TATAOUINE
1,6,150460,19-May,23,37,77862.85,50.0,1557.257,TATAOUINE
1,1,150460,19-Mar,23,37,52723.02,42.0,1255.31,TATAOUINE
4,2,150460,18-May,23,37,11946.888,8.0,1493.361,TATAOUINE
1,2,150460,18-Dec,23,37,51392.103,32.0,1606.00321875,TATAOUINE
1,1,150460,19-Dec,23,37,191660.112,144.0,1330.973,TATAOUINE
4,3,150460,19-May,23,37,15572.57,10.0,1557.257,TATAOUINE
4,3,150460,18-Jan,23,37,30500.438,23.0,1326.106,TATAOUINE
4,3,150460,18-Feb,23,37,30500.438,23.0,1326.106,TATAOUINE
3,2,150460,18-Aug,23,37,24902.176,16.0,1556.386,TATAOUINE
4,2,150460,18-Aug,23,37,10894.702,7.0,1556.386,TATAOUINE
1,1,150460,18-Oct,23,37,111864.367,89.0,1256.903,TATAOUINE
1,6,150460,19-Sep,23,37,73087.068,47.0,1555.044,TATAOUINE
1,6,150460,19-Mar,23,37,22323.45,15.0,1488.23,TATAOUINE
1,2,150460,19-Jul,23,37,50062.17,30.0,1668.739,TATAOUINE
4,1,150460,18-Dec,23,37,136945.079,109.0,1256.376871559633,TATAOUINE
1,2,150460,19-Jan,23,37,48158.82,30.0,1605.294,TATAOUINE
4,1,150460,18-Aug,23,37,73812.922,62.0,1190.5310000000002,TATAOUINE
1,1,150460,18-Aug,23,37,48811.771,41.0,1190.531,TATAOUINE
1,1,150460,18-Jun,23,37,66325.381,59.0,1124.1589999999999,TATAOUINE
4,3,150460,18-Jun,23,37,8620.356,6.0,1436.7259999999999,TATAOUINE
2,1,150460,18-Oct,23,37,50276.12,40.0,1256.903,TATAOUINE
4,3,150460,18-Dec,23,37,5959.292,4.0,1489.823,TATAOUINE
4,1,150460,19-Feb,23,37,164445.61,131.0,1255.31,TATAOUINE
1,1,150460,19-Apr,23,37,218642.504,164.0,1333.186,TATAOUINE
1,6,150460,19-Apr,23,37,68519.308,44.0,1557.257,TATAOUINE
2,6,150460,19-Jun,23,37,9343.542,6.0,1557.2569999999998,TATAOUINE
1,2,150460,19-Mar,23,37,22474.116,14.0,1605.294,TATAOUINE
4,1,150460,19-Nov,23,37,134428.273,101.0,1330.973,TATAOUINE
4,6,150460,19-Nov,23,37,46651.32,30.0,1555.044,TATAOUINE
1,3,150460,19-Jan,23,37,40182.21,27.0,1488.23,TATAOUINE
2,1,150460,18-Nov,23,37,38963.993,31.0,1256.903,TATAOUINE
4,1,150460,18-Oct,23,37,8798.321,7.0,1256.903,TATAOUINE
4,2,150460,18-Dec,23,37,19281.684,12.0,1606.807,TATAOUINE
1,2,150460,19-Oct,23,37,33374.78,20.0,1668.739,TATAOUINE
1,2,150460,19-Nov,23,37,46724.692,28.0,1668.739,TATAOUINE
4,1,150460,18-May,23,37,131526.603,117.0,1124.159,TATAOUINE
1,3,150460,18-Jun,23,37,30147.788,22.0,1370.354,TATAOUINE
4,2,150460,18-Oct,23,37,51417.824,32.0,1606.807,TATAOUINE
1,2,150460,18-Nov,23,37,9640.842,6.0,1606.807,TATAOUINE
1,1,150460,19-Sep,23,37,167702.598,126.0,1330.973,TATAOUINE
4,2,150460,19-Mar,23,37,51369.408,32.0,1605.294,TATAOUINE
4,2,150460,19-May,23,37,13366.72,8.0,1670.84,TATAOUINE
4,1,150460,19-Oct,23,37,147738.003,111.0,1330.973,TATAOUINE
1,1,150460,19-Nov,23,37,13309.73,10.0,1330.973,TATAOUINE
4,3,150460,18-Apr,23,37,49332.744,36.0,1370.354,TATAOUINE
1,2,150460,18-Jun,23,37,44000.744,29.0,1517.2670344827586,TATAOUINE
4,3,150460,18-Nov,23,37,34265.929,23.0,1489.8229999999999,TATAOUINE
1,2,150460,19-May,23,37,76858.64,46.0,1670.84,TATAOUINE
4,3,150460,19-Apr,23,37,42045.939,27.0,1557.2569999999998,TATAOUINE
4,6,150460,19-Mar,23,37,49111.59,33.0,1488.2299999999998,TATAOUINE
1,2,150460,19-Dec,23,37,76761.994,46.0,1668.739,TATAOUINE
1,6,150460,19-Dec,23,37,94857.684,61.0,1555.0439999999999,TATAOUINE
4,1,150460,19-Dec,23,37,19964.595,15.0,1330.9730000000002,TATAOUINE
1,3,150460,18-Dec,23,37,69996.193,47.0,1489.2807021276597,TATAOUINE
4,3,150460,18-Sep,23,37,83430.088,56.0,1489.823,TATAOUINE
1,1,150460,19-May,23,37,143984.088,108.0,1333.186,TATAOUINE
4,2,150460,19-Sep,23,37,33374.78,20.0,1668.739,TATAOUINE
4,6,150460,19-Sep,23,37,38876.1,25.0,1555.0439999999999,TATAOUINE
1,6,150460,19-Nov,23,37,45096.276,29.0,1555.0439999999999,TATAOUINE
