NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
1,3,155080,18-Dec,21,29,122122.475,82.0,1489.2984756097562,TEBOULBOU
2,1,155080,18-Jul,21,29,7143.186,6.0,1190.531,TEBOULBOU
1,1,155080,19-Apr,21,29,261304.456,196.0,1333.186,TEBOULBOU
1,6,155080,19-Dec,21,29,136843.872,88.0,1555.044,TEBOULBOU
2,1,155080,19-Jun,21,29,75991.602,57.0,1333.186,TEBOULBOU
1,6,155080,19-Aug,21,29,213041.028,137.0,1555.0439999999999,TEBOULBOU
4,6,155080,19-Mar,21,29,8929.38,6.0,1488.2299999999998,TEBOULBOU
1,2,155080,19-Oct,21,29,260323.284,156.0,1668.739,TEBOULBOU
1,1,155080,19-Nov,21,29,244899.032,184.0,1330.973,TEBOULBOU
2,1,155080,18-Nov,21,29,22624.254,18.0,1256.903,TEBOULBOU
1,3,155080,18-Sep,21,29,123389.824,83.0,1486.6243855421685,TEBOULBOU
1,1,155080,18-Sep,21,29,216515.011,173.0,1251.5318554913295,TEBOULBOU
1,1,155080,18-Jun,21,29,142515.2,124.0,1149.3161290322582,TEBOULBOU
1,3,155080,18-Nov,21,29,95348.672,64.0,1489.823,TEBOULBOU
2,1,155080,18-Dec,21,29,15082.836,12.0,1256.903,TEBOULBOU
2,1,155080,19-Jul,21,29,13331.86,10.0,1333.1860000000001,TEBOULBOU
2,1,155080,19-Sep,21,29,6654.865,5.0,1330.973,TEBOULBOU
1,2,155080,18-Oct,21,29,125330.946,78.0,1606.807,TEBOULBOU
1,2,155080,19-Feb,21,29,184608.81,115.0,1605.2939999999999,TEBOULBOU
4,1,155080,18-Dec,21,29,59074.441,47.0,1256.903,TEBOULBOU
2,2,155080,19-Jan,21,29,33711.174,21.0,1605.2939999999999,TEBOULBOU
2,2,155080,18-Jul,21,29,20233.018,13.0,1556.386,TEBOULBOU
1,2,155080,18-Aug,21,29,449795.554,289.0,1556.386,TEBOULBOU
1,1,155080,18-May,21,29,42718.042,38.0,1124.159,TEBOULBOU
1,2,155080,18-Nov,21,29,114083.297,71.0,1606.807,TEBOULBOU
2,1,155080,18-Oct,21,29,15082.836,12.0,1256.903,TEBOULBOU
2,2,155080,18-Oct,21,29,12854.456,8.0,1606.807,TEBOULBOU
1,2,155080,19-Apr,21,29,250626.0,150.0,1670.84,TEBOULBOU
1,2,155080,19-May,21,29,158729.8,95.0,1670.84,TEBOULBOU
1,2,155080,18-May,21,29,22400.415,15.0,1493.361,TEBOULBOU
1,2,155080,19-Jan,21,29,123607.638,77.0,1605.294,TEBOULBOU
1,1,155080,18-Jul,21,29,157150.092,132.0,1190.531,TEBOULBOU
1,2,155080,19-Jun,21,29,237259.28,142.0,1670.84,TEBOULBOU
1,2,155080,19-Mar,21,29,211898.808,132.0,1605.2939999999999,TEBOULBOU
2,1,155080,19-Jan,21,29,41425.23,33.0,1255.3100000000002,TEBOULBOU
1,1,155080,19-Jun,21,29,94656.206,71.0,1333.1860000000001,TEBOULBOU
1,1,155080,19-Aug,21,29,264863.627,199.0,1330.973,TEBOULBOU
1,2,155080,19-Aug,21,29,480596.832,288.0,1668.739,TEBOULBOU
1,3,155080,19-Feb,21,29,107152.56,72.0,1488.23,TEBOULBOU
1,6,155080,19-Mar,21,29,114593.71,77.0,1488.23,TEBOULBOU
1,2,155080,19-Nov,21,29,243635.894,146.0,1668.739,TEBOULBOU
1,6,155080,19-Nov,21,29,122848.476,79.0,1555.0439999999999,TEBOULBOU
1,1,155080,19-Feb,21,29,228466.42,182.0,1255.3100000000002,TEBOULBOU
1,1,155080,19-Dec,21,29,274180.438,206.0,1330.9730000000002,TEBOULBOU
1,6,155080,19-Jul,21,29,161830.8,104.0,1556.0653846153846,TEBOULBOU
4,2,155080,19-Sep,21,29,6674.956,4.0,1668.739,TEBOULBOU
1,3,155080,19-Jan,21,29,81852.65,55.0,1488.2299999999998,TEBOULBOU
4,1,155080,19-Mar,21,29,12553.1,10.0,1255.31,TEBOULBOU
1,1,155080,18-Dec,21,29,159540.659,127.0,1256.225661417323,TEBOULBOU
2,1,155080,18-Aug,21,29,7143.186,6.0,1190.531,TEBOULBOU
