NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
1,2,154820,18-Feb,15,98,31929.568,22.0,1451.344,TOUZA
3,3,154820,18-Mar,15,98,7956.636,6.0,1326.106,TOUZA
3,3,154820,18-Apr,15,98,5481.416,4.0,1370.354,TOUZA
1,3,154820,18-Apr,15,98,4111.062,3.0,1370.354,TOUZA
2,2,154820,18-May,15,28,5973.444,4.0,1493.361,TOUZA
1,1,154820,18-Aug,15,98,151197.437,127.0,1190.531,TOUZA
2,1,154820,18-Aug,15,28,84527.701,71.0,1190.531,TOUZA
2,1,154820,18-Nov,15,98,109350.561,87.0,1256.903,TOUZA
2,2,154820,18-Jun,15,28,4480.083,3.0,1493.3609999999999,TOUZA
2,6,154820,19-Aug,15,28,6220.176,4.0,1555.044,TOUZA
2,1,154820,19-Dec,15,28,39929.19,30.0,1330.9730000000002,TOUZA
2,2,154820,19-Dec,15,28,13349.912,8.0,1668.739,TOUZA
2,6,154820,19-Dec,15,28,6220.176,4.0,1555.044,TOUZA
2,1,154820,18-Feb,15,28,20518.309,19.0,1079.911,TOUZA
3,3,154820,18-Feb,15,98,3978.318,3.0,1326.106,TOUZA
3,3,154820,18-Jul,15,98,17240.712,12.0,1436.7259999999999,TOUZA
1,3,154820,18-Sep,15,98,20698.231,14.0,1478.4450714285715,TOUZA
1,2,154820,18-Oct,15,98,25708.912,16.0,1606.807,TOUZA
3,3,154820,18-Nov,15,28,4469.469,3.0,1489.823,TOUZA
1,1,154820,19-Feb,15,98,79084.53,63.0,1255.31,TOUZA
3,6,154820,19-Apr,15,98,14015.313,9.0,1557.257,TOUZA
1,1,154820,19-Mar,15,98,120509.76,96.0,1255.31,TOUZA
2,2,154820,19-Sep,15,98,51730.909,31.0,1668.739,TOUZA
2,6,154820,19-Oct,15,98,4665.132,3.0,1555.0439999999999,TOUZA
2,6,154820,19-Dec,15,98,23325.66,15.0,1555.044,TOUZA
2,1,154820,18-Jan,15,28,42116.529,39.0,1079.911,TOUZA
1,1,154820,18-Mar,15,98,142548.252,132.0,1079.911,TOUZA
1,2,154820,18-Mar,15,28,8708.064,6.0,1451.344,TOUZA
2,2,154820,18-Dec,15,98,43371.685,27.0,1606.3587037037037,TOUZA
2,1,154820,18-Dec,15,28,80401.967,64.0,1256.280734375,TOUZA
3,3,154820,19-Jan,15,98,11905.84,8.0,1488.23,TOUZA
2,1,154820,19-Feb,15,28,20084.96,16.0,1255.31,TOUZA
2,2,154820,19-Mar,15,98,35316.468,22.0,1605.294,TOUZA
2,1,154820,19-Dec,15,98,208962.761,157.0,1330.973,TOUZA
2,2,154820,19-Dec,15,98,68418.299,41.0,1668.739,TOUZA
1,3,154820,18-Feb,15,98,9282.742,7.0,1326.106,TOUZA
1,1,154820,18-Jul,15,98,185722.836,156.0,1190.5310000000002,TOUZA
2,1,154820,19-Jan,15,28,60254.88,48.0,1255.31,TOUZA
1,3,154820,18-Jul,15,98,5746.904,4.0,1436.726,TOUZA
2,2,154820,18-Jul,15,98,12451.088,8.0,1556.386,TOUZA
1,1,154820,18-Sep,15,98,246813.427,197.0,1252.860035532995,TOUZA
1,1,154820,18-Dec,15,98,22624.254,18.0,1256.903,TOUZA
1,2,154820,19-Feb,15,98,22474.116,14.0,1605.294,TOUZA
1,2,154820,19-Jun,15,98,18379.24,11.0,1670.8400000000001,TOUZA
2,2,154820,18-Mar,15,28,5805.376,4.0,1451.344,TOUZA
1,1,154820,18-Apr,15,98,156258.101,139.0,1124.1589999999999,TOUZA
2,1,154820,18-May,15,28,31476.452,28.0,1124.159,TOUZA
3,1,154820,18-Oct,15,98,17596.642,14.0,1256.903,TOUZA
3,3,154820,18-Nov,15,98,10428.761,7.0,1489.823,TOUZA
1,2,154820,18-Jun,15,98,42381.333,28.0,1513.6190357142857,TOUZA
1,1,154820,18-Jun,15,98,170486.431,149.0,1144.2042348993289,TOUZA
2,2,154820,18-Dec,15,28,17664.286,11.0,1605.8441818181818,TOUZA
2,3,154820,19-May,15,98,14015.313,9.0,1557.257,TOUZA
2,1,154820,19-Mar,15,98,123020.38,98.0,1255.31,TOUZA
3,6,154820,19-Mar,15,98,11905.84,8.0,1488.23,TOUZA
2,2,154820,19-Aug,15,28,26699.824,16.0,1668.739,TOUZA
1,2,154820,18-Mar,15,98,50797.04,35.0,1451.344,TOUZA
3,3,154820,18-Mar,15,28,2652.212,2.0,1326.106,TOUZA
1,1,154820,18-May,15,98,239445.867,213.0,1124.159,TOUZA
3,1,154820,18-Nov,15,98,12569.03,10.0,1256.903,TOUZA
2,2,154820,19-Feb,15,98,36921.762,23.0,1605.294,TOUZA
3,1,154820,19-Feb,15,98,8787.17,7.0,1255.31,TOUZA
2,2,154820,19-Feb,15,28,6421.176,4.0,1605.294,TOUZA
1,6,154820,19-Jun,15,98,4671.771,3.0,1557.2569999999998,TOUZA
2,2,154820,19-Apr,15,28,5012.52,3.0,1670.8400000000001,TOUZA
2,6,154820,19-Sep,15,98,21770.616,14.0,1555.044,TOUZA
2,2,154820,19-Nov,15,98,63412.082,38.0,1668.739,TOUZA
1,2,154820,18-Aug,15,98,68480.984,44.0,1556.386,TOUZA
2,2,154820,18-Aug,15,98,12451.088,8.0,1556.386,TOUZA
2,1,154820,18-Aug,15,98,13095.841,11.0,1190.531,TOUZA
3,2,154820,18-Dec,15,98,4820.421,3.0,1606.807,TOUZA
1,2,154820,19-Apr,15,98,13366.72,8.0,1670.84,TOUZA
2,6,154820,19-Nov,15,98,15550.44,10.0,1555.044,TOUZA
2,2,154820,18-Aug,15,28,15563.86,10.0,1556.386,TOUZA
1,2,154820,18-Sep,15,98,59451.859,37.0,1606.807,TOUZA
1,1,154820,18-Oct,15,98,157112.875,125.0,1256.903,TOUZA
3,3,154820,18-Oct,15,98,11918.584,8.0,1489.823,TOUZA
3,3,154820,19-Feb,15,98,10417.61,7.0,1488.23,TOUZA
2,1,154820,19-May,15,98,147983.646,111.0,1333.1860000000001,TOUZA
2,1,154820,19-Jun,15,98,239973.48,180.0,1333.1860000000001,TOUZA
1,1,154820,19-Apr,15,98,38662.394,29.0,1333.186,TOUZA
1,2,154820,19-Mar,15,98,38527.056,24.0,1605.2939999999999,TOUZA
1,2,154820,18-Jan,15,98,40637.632,28.0,1451.3439999999998,TOUZA
2,1,154820,18-Oct,15,28,101809.143,81.0,1256.903,TOUZA
2,2,154820,18-Jun,15,98,5973.444,4.0,1493.361,TOUZA
2,2,154820,19-Aug,15,98,71755.777,43.0,1668.739,TOUZA
2,1,154820,19-Oct,15,98,239575.14,180.0,1330.9730000000002,TOUZA
3,3,154820,18-Jan,15,28,3978.318,3.0,1326.106,TOUZA
1,1,154820,18-Feb,15,98,117710.299,109.0,1079.911,TOUZA
1,1,154820,18-Mar,15,28,32397.33,30.0,1079.911,TOUZA
2,2,154820,18-Jul,15,28,6225.544,4.0,1556.386,TOUZA
3,3,154820,18-Oct,15,28,5959.292,4.0,1489.823,TOUZA
2,2,154820,19-Jun,15,98,60150.24,36.0,1670.84,TOUZA
1,2,154820,19-Jul,15,98,10025.04,6.0,1670.8400000000001,TOUZA
2,1,154820,19-Aug,15,28,41260.163,31.0,1330.973,TOUZA
2,1,154820,18-Sep,15,98,22624.254,18.0,1256.903,TOUZA
2,1,154820,18-Jun,15,98,26979.816,24.0,1124.1589999999999,TOUZA
2,1,154820,19-Jul,15,98,222462.809,167.0,1332.112628742515,TOUZA
2,2,154820,19-Jul,15,98,76801.913,46.0,1669.606804347826,TOUZA
2,2,154820,19-Oct,15,98,68418.299,41.0,1668.739,TOUZA
2,1,154820,19-Apr,15,98,215976.132,162.0,1333.1860000000001,TOUZA
2,1,154820,18-Dec,15,98,133179.149,106.0,1256.4070660377358,TOUZA
2,2,154820,19-Jan,15,98,40132.35,25.0,1605.2939999999999,TOUZA
2,1,154820,19-Feb,15,98,138084.1,110.0,1255.31,TOUZA
2,2,154820,18-Nov,15,98,20888.491,13.0,1606.8070000000002,TOUZA
3,3,154820,18-Dec,15,98,4464.69,3.0,1488.2299999999998,TOUZA
2,6,154820,19-Jul,15,98,15557.079,10.0,1555.7078999999999,TOUZA
1,2,154820,19-Sep,15,98,30037.302,18.0,1668.739,TOUZA
2,1,154820,19-Jan,15,98,112977.9,90.0,1255.31,TOUZA
2,2,154820,19-Jan,15,28,16052.94,10.0,1605.294,TOUZA
2,1,154820,18-Jul,15,28,16667.434,14.0,1190.5310000000002,TOUZA
2,1,154820,18-Jul,15,98,36906.461,31.0,1190.5310000000002,TOUZA
2,2,154820,18-Oct,15,28,36956.561,23.0,1606.807,TOUZA
3,1,154820,18-Jun,15,98,4496.636,4.0,1124.159,TOUZA
1,1,154820,19-May,15,98,110654.438,83.0,1333.186,TOUZA
1,6,154820,19-May,15,98,4671.771,3.0,1557.2569999999998,TOUZA
2,6,154820,19-Jun,15,98,10900.799,7.0,1557.257,TOUZA
1,1,154820,19-Sep,15,98,33274.325,25.0,1330.973,TOUZA
3,3,154820,18-Jan,15,98,15913.272,12.0,1326.106,TOUZA
2,1,154820,18-Mar,15,28,36716.974,34.0,1079.911,TOUZA
1,2,154820,18-Apr,15,98,41814.108,28.0,1493.361,TOUZA
2,2,154820,19-Apr,15,98,58479.4,35.0,1670.8400000000001,TOUZA
1,2,154820,18-Dec,15,98,8034.035,5.0,1606.807,TOUZA
1,3,154820,18-Aug,15,98,21550.89,15.0,1436.7259999999999,TOUZA
3,1,154820,18-Dec,15,98,15082.836,12.0,1256.903,TOUZA
2,1,154820,18-Feb,15,28,12958.932,12.0,1079.911,TOUZA
2,2,154820,18-Feb,15,28,5805.376,4.0,1451.344,TOUZA
1,2,154820,18-May,15,98,46294.191,31.0,1493.3609999999999,TOUZA
1,3,154820,18-May,15,98,17814.602,13.0,1370.3539999999998,TOUZA
1,2,154820,18-Jul,15,98,49804.352,32.0,1556.386,TOUZA
1,3,154820,18-Jun,15,98,5746.904,4.0,1436.726,TOUZA
2,1,154820,18-Nov,15,28,135745.524,108.0,1256.903,TOUZA
3,3,154820,18-Jun,15,98,10962.832,8.0,1370.354,TOUZA
1,3,154820,18-Dec,15,98,5959.292,4.0,1489.823,TOUZA
1,2,154820,19-Jan,15,98,20868.822,13.0,1605.294,TOUZA
2,2,154820,19-May,15,98,56808.56,34.0,1670.84,TOUZA
2,1,154820,19-Apr,15,28,43995.138,33.0,1333.186,TOUZA
2,1,154820,19-Aug,15,98,175688.436,132.0,1330.973,TOUZA
2,1,154820,19-Nov,15,98,206300.815,155.0,1330.973,TOUZA
1,1,154820,18-Jan,15,98,136068.786,126.0,1079.9109999999998,TOUZA
2,2,154820,18-Jan,15,28,5805.376,4.0,1451.344,TOUZA
1,3,154820,18-Mar,15,98,3978.318,3.0,1326.106,TOUZA
2,1,154820,18-Apr,15,28,25855.657,23.0,1124.1589999999999,TOUZA
1,1,154820,19-Jan,15,98,62765.5,50.0,1255.31,TOUZA
3,3,154820,18-Aug,15,98,4310.178,3.0,1436.7259999999999,TOUZA
2,2,154820,18-Nov,15,28,24102.105,15.0,1606.807,TOUZA
2,1,154820,18-Jun,15,28,22483.18,20.0,1124.159,TOUZA
1,3,154820,19-Jan,15,98,4464.69,3.0,1488.2299999999998,TOUZA
1,2,154820,19-May,15,98,18379.24,11.0,1670.8400000000001,TOUZA
2,6,154820,19-Aug,15,98,4665.132,3.0,1555.0439999999999,TOUZA
2,1,154820,19-Sep,15,98,198314.977,149.0,1330.9730000000002,TOUZA
