NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
1,2,154640,18-Sep,19,44,24102.105,15.0,1606.807,TOZEUR 
1,2,154640,19-Jun,19,44,26733.44,16.0,1670.84,TOZEUR 
1,1,154640,19-Apr,19,44,131985.414,99.0,1333.186,TOZEUR 
1,6,154640,19-Sep,19,44,21770.616,14.0,1555.044,TOZEUR 
1,3,154640,18-May,19,44,16444.248,12.0,1370.354,TOZEUR 
3,3,154640,18-Nov,19,44,4469.469,3.0,1489.823,TOZEUR 
1,2,154640,18-Nov,19,44,27315.719,17.0,1606.807,TOZEUR 
1,6,154640,19-Jun,19,44,31145.14,20.0,1557.257,TOZEUR 
1,2,154640,19-Mar,19,44,33711.174,21.0,1605.2939999999999,TOZEUR 
1,1,154640,18-Feb,19,44,59395.105,55.0,1079.911,TOZEUR 
1,1,154640,18-Mar,19,44,89632.613,83.0,1079.911,TOZEUR 
2,1,154640,18-Jul,19,44,16667.434,14.0,1190.5310000000002,TOZEUR 
1,3,154640,18-Jun,19,44,20953.542,15.0,1396.9028,TOZEUR 
1,3,154640,19-Jan,19,44,20835.22,14.0,1488.23,TOZEUR 
1,2,154640,19-Feb,19,44,24079.41,15.0,1605.294,TOZEUR 
1,2,154640,18-Jan,19,44,20318.816,14.0,1451.3439999999998,TOZEUR 
1,2,154640,18-Mar,19,44,29026.88,20.0,1451.344,TOZEUR 
2,2,154640,19-Jan,19,44,8026.47,5.0,1605.294,TOZEUR 
3,1,154640,18-Aug,19,44,14286.372,12.0,1190.531,TOZEUR 
1,6,154640,19-Aug,19,44,27990.792,18.0,1555.044,TOZEUR 
1,1,154640,19-Dec,19,44,155723.841,117.0,1330.973,TOZEUR 
1,2,154640,19-Oct,19,44,43387.214,26.0,1668.739,TOZEUR 
1,6,154640,19-Oct,19,44,40431.144,26.0,1555.044,TOZEUR 
4,3,154640,18-Apr,19,44,4111.062,3.0,1370.354,TOZEUR 
4,1,154640,18-Dec,19,44,25138.06,20.0,1256.903,TOZEUR 
1,2,154640,18-Jul,19,44,18676.632,12.0,1556.3860000000002,TOZEUR 
1,3,154640,18-Oct,19,44,20857.522,14.0,1489.823,TOZEUR 
3,1,154640,18-Nov,19,44,8798.321,7.0,1256.903,TOZEUR 
1,1,154640,19-Feb,19,44,109211.97,87.0,1255.31,TOZEUR 
1,6,154640,19-Mar,19,44,28276.37,19.0,1488.23,TOZEUR 
2,1,154640,19-Sep,19,44,9316.811,7.0,1330.973,TOZEUR 
1,1,154640,19-Oct,19,44,169033.571,127.0,1330.973,TOZEUR 
3,3,154640,18-Feb,19,44,6630.53,5.0,1326.106,TOZEUR 
1,1,154640,18-Apr,19,44,89932.72,80.0,1124.159,TOZEUR 
1,2,154640,18-Apr,19,44,28373.859,19.0,1493.361,TOZEUR 
1,2,154640,18-May,19,44,20907.054,14.0,1493.361,TOZEUR 
1,3,154640,18-Aug,19,44,20114.164,14.0,1436.726,TOZEUR 
3,2,154640,18-Aug,19,44,4669.158,3.0,1556.3860000000002,TOZEUR 
1,1,154640,19-Mar,19,44,131807.55,105.0,1255.31,TOZEUR 
1,2,154640,19-Dec,19,44,50062.17,30.0,1668.739,TOZEUR 
3,3,154640,18-Aug,19,44,2873.452,2.0,1436.726,TOZEUR 
2,1,154640,18-Oct,19,44,13825.933,11.0,1256.903,TOZEUR 
2,1,154640,19-Jun,19,44,53327.44,40.0,1333.1860000000001,TOZEUR 
1,2,154640,19-Aug,19,44,20024.868,12.0,1668.7389999999998,TOZEUR 
1,6,154640,19-Jul,19,44,23343.364,15.0,1556.2242666666668,TOZEUR 
1,6,154640,19-Nov,19,44,37321.056,24.0,1555.0439999999999,TOZEUR 
1,1,154640,19-Nov,19,44,133097.3,100.0,1330.973,TOZEUR 
1,1,154640,18-Jan,19,44,63714.749,59.0,1079.911,TOZEUR 
1,1,154640,18-May,19,44,119160.854,106.0,1124.159,TOZEUR 
1,1,154640,18-Aug,19,44,150006.906,126.0,1190.531,TOZEUR 
3,3,154640,19-Jan,19,44,4464.69,3.0,1488.2299999999998,TOZEUR 
1,1,154640,19-May,19,44,126652.67,95.0,1333.186,TOZEUR 
1,1,154640,19-Sep,19,44,145076.057,109.0,1330.973,TOZEUR 
1,1,154640,19-Aug,19,44,150399.949,113.0,1330.973,TOZEUR 
1,1,154640,19-Jul,19,44,145195.559,109.0,1332.0693486238533,TOZEUR 
1,1,154640,18-Dec,19,44,128126.049,102.0,1256.1377352941176,TOZEUR 
1,1,154640,18-Jul,19,44,121434.162,102.0,1190.531,TOZEUR 
1,2,154640,18-Aug,19,44,29571.334,19.0,1556.386,TOZEUR 
1,1,154640,19-Jun,19,44,70658.858,53.0,1333.186,TOZEUR 
4,6,154640,19-Sep,19,44,3110.088,2.0,1555.044,TOZEUR 
1,2,154640,18-Feb,19,44,23221.504,16.0,1451.344,TOZEUR 
1,3,154640,18-Dec,19,44,29788.495,20.0,1489.42475,TOZEUR 
