NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
1,3,152220,18-Mar,19,44,64979.194,49.0,1326.106,TOZEUR VILLE
1,1,152220,18-Feb,19,44,118790.21,110.0,1079.911,TOZEUR VILLE
3,3,152220,19-Jan,19,44,16370.53,11.0,1488.23,TOZEUR VILLE
2,2,152220,19-Jan,19,44,33711.174,21.0,1605.2939999999999,TOZEUR VILLE
1,2,152220,18-Aug,19,44,130736.424,84.0,1556.386,TOZEUR VILLE
1,1,152220,19-Mar,19,44,166956.23,133.0,1255.3100000000002,TOZEUR VILLE
1,3,152220,18-Jan,19,44,63653.088,48.0,1326.106,TOZEUR VILLE
1,3,152220,18-Dec,19,44,96808.228,65.0,1489.357353846154,TOZEUR VILLE
1,1,152220,18-Jul,19,44,144054.251,121.0,1190.531,TOZEUR VILLE
1,2,152220,19-Feb,19,44,128423.52,80.0,1605.294,TOZEUR VILLE
1,1,152220,19-Aug,19,44,122449.516,92.0,1330.973,TOZEUR VILLE
2,1,152220,19-Sep,19,44,7985.838,6.0,1330.973,TOZEUR VILLE
1,1,152220,18-Mar,19,44,145787.985,135.0,1079.9109999999998,TOZEUR VILLE
2,1,152220,19-Jan,19,44,25106.2,20.0,1255.31,TOZEUR VILLE
1,3,152220,18-Aug,19,44,67526.122,47.0,1436.726,TOZEUR VILLE
1,2,152220,19-Dec,19,44,173548.856,104.0,1668.739,TOZEUR VILLE
1,2,152220,19-Jul,19,44,113545.686,68.0,1669.7895,TOZEUR VILLE
4,3,152220,18-Apr,19,44,8222.124,6.0,1370.354,TOZEUR VILLE
1,1,152220,18-Sep,19,44,155855.972,124.0,1256.903,TOZEUR VILLE
1,1,152220,18-Oct,19,44,163397.39,130.0,1256.903,TOZEUR VILLE
2,2,152220,18-Oct,19,44,9640.842,6.0,1606.807,TOZEUR VILLE
1,1,152220,19-Sep,19,44,113132.705,85.0,1330.973,TOZEUR VILLE
