NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
2,2,153540,18-Mar,4,5,49345.696,34.0,1451.344,TOZOGHRANE
2,2,153540,19-May,4,5,68504.44,41.0,1670.8400000000001,TOZOGHRANE
2,2,153540,19-Aug,4,5,130161.642,78.0,1668.739,TOZOGHRANE
2,1,153540,19-Jul,4,5,311691.112,234.0,1332.0132991452992,TOZOGHRANE
2,1,153540,18-May,4,5,222583.482,198.0,1124.1589999999999,TOZOGHRANE
2,2,153540,18-Sep,4,5,62665.473,39.0,1606.807,TOZOGHRANE
2,1,153540,19-Sep,4,5,279504.33,210.0,1330.9730000000002,TOZOGHRANE
1,1,153540,18-Dec,4,5,36450.187,29.0,1256.903,TOZOGHRANE
1,2,153540,19-May,4,5,6683.36,4.0,1670.84,TOZOGHRANE
1,2,153540,18-Mar,4,5,5805.376,4.0,1451.344,TOZOGHRANE
1,2,153540,18-Oct,4,5,12854.456,8.0,1606.807,TOZOGHRANE
3,3,153540,18-Jun,4,5,24865.488,18.0,1381.4160000000002,TOZOGHRANE
3,1,153540,18-Dec,4,5,7541.418,6.0,1256.903,TOZOGHRANE
2,2,153540,18-Feb,4,5,43540.32,30.0,1451.344,TOZOGHRANE
1,1,153540,18-Mar,4,5,26997.775,25.0,1079.911,TOZOGHRANE
1,1,153540,18-May,4,5,17986.544,16.0,1124.159,TOZOGHRANE
2,1,153540,18-Oct,4,5,218701.122,174.0,1256.903,TOZOGHRANE
1,2,153540,19-Feb,4,5,6421.176,4.0,1605.294,TOZOGHRANE
2,1,153540,19-Jun,4,5,270636.758,203.0,1333.186,TOZOGHRANE
1,1,153540,19-May,4,5,17331.418,13.0,1333.1860000000001,TOZOGHRANE
2,1,153540,18-Feb,4,5,161986.65,150.0,1079.911,TOZOGHRANE
3,3,153540,18-Jan,4,5,13261.06,10.0,1326.106,TOZOGHRANE
2,2,153540,18-May,4,5,59734.44,40.0,1493.361,TOZOGHRANE
3,1,153540,18-May,4,5,3372.477,3.0,1124.1589999999999,TOZOGHRANE
1,1,153540,18-Jul,4,5,44049.647,37.0,1190.531,TOZOGHRANE
1,2,153540,18-Aug,4,5,51360.738,33.0,1556.386,TOZOGHRANE
1,1,153540,18-Sep,4,5,20110.448,16.0,1256.903,TOZOGHRANE
3,2,153540,19-Jan,4,5,4815.882,3.0,1605.2939999999999,TOZOGHRANE
3,1,153540,19-Jun,4,5,29330.092,22.0,1333.186,TOZOGHRANE
2,6,153540,19-Nov,4,5,10885.308,7.0,1555.044,TOZOGHRANE
2,2,153540,18-Aug,4,5,76262.914,49.0,1556.3860000000002,TOZOGHRANE
2,2,153540,18-Oct,4,5,44990.596,28.0,1606.807,TOZOGHRANE
3,1,153540,19-Jan,4,5,35148.68,28.0,1255.31,TOZOGHRANE
2,2,153540,19-Jul,4,5,121887.28,73.0,1669.6887671232876,TOZOGHRANE
1,2,153540,18-Apr,4,5,23893.776,16.0,1493.361,TOZOGHRANE
3,3,153540,18-May,4,5,19184.956,14.0,1370.3539999999998,TOZOGHRANE
1,2,153540,19-Jan,4,5,9631.764,6.0,1605.2939999999999,TOZOGHRANE
2,1,153540,18-Aug,4,5,209533.456,176.0,1190.531,TOZOGHRANE
1,3,153540,18-Aug,4,5,10057.082,7.0,1436.726,TOZOGHRANE
1,2,153540,18-Jun,4,5,6225.544,4.0,1556.386,TOZOGHRANE
2,2,153540,19-Apr,4,5,75187.8,45.0,1670.8400000000001,TOZOGHRANE
2,3,153540,19-Apr,4,5,14015.313,9.0,1557.257,TOZOGHRANE
2,1,153540,19-Mar,4,5,136828.79,109.0,1255.3100000000002,TOZOGHRANE
2,6,153540,19-Jul,4,5,37345.399,24.0,1556.0582916666665,TOZOGHRANE
2,6,153540,19-Oct,4,5,26435.748,17.0,1555.0439999999999,TOZOGHRANE
2,1,153540,18-Apr,4,5,133774.921,119.0,1124.159,TOZOGHRANE
2,1,153540,19-Jan,4,5,161934.99,129.0,1255.31,TOZOGHRANE
2,2,153540,19-Sep,4,5,73424.516,44.0,1668.739,TOZOGHRANE
2,6,153540,19-Dec,4,5,15550.44,10.0,1555.044,TOZOGHRANE
2,2,153540,18-Jul,4,5,88714.002,57.0,1556.386,TOZOGHRANE
3,3,153540,18-Jul,4,5,25861.068,18.0,1436.7259999999999,TOZOGHRANE
2,2,153540,19-Jan,4,5,41737.644,26.0,1605.294,TOZOGHRANE
