NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
2,1,152590,18-Feb,5,37,89632.613,83.0,1079.911,ZAGHOUAN
3,3,152590,18-Feb,5,37,6630.53,5.0,1326.106,ZAGHOUAN
3,3,152590,18-Apr,5,37,50703.098,37.0,1370.354,ZAGHOUAN
3,2,152590,18-Dec,5,37,16068.07,10.0,1606.807,ZAGHOUAN
2,2,152590,18-Aug,5,37,138518.354,89.0,1556.386,ZAGHOUAN
1,3,152590,18-Aug,5,37,7183.63,5.0,1436.726,ZAGHOUAN
3,3,152590,18-Sep,5,37,53368.143,36.0,1482.4484166666666,ZAGHOUAN
1,3,152590,18-Oct,5,37,17877.876,12.0,1489.823,ZAGHOUAN
1,1,152590,18-Oct,5,37,55303.732,44.0,1256.903,ZAGHOUAN
1,2,152590,19-Feb,5,37,81869.994,51.0,1605.294,ZAGHOUAN
1,1,152590,18-Dec,5,37,28908.769,23.0,1256.903,ZAGHOUAN
2,2,152590,18-Jun,5,37,166664.66,110.0,1515.1332727272727,ZAGHOUAN
2,1,152590,18-Oct,5,37,315482.653,251.0,1256.903,ZAGHOUAN
2,1,152590,19-Feb,5,37,203360.22,162.0,1255.31,ZAGHOUAN
2,1,152590,19-May,5,37,285301.804,214.0,1333.186,ZAGHOUAN
2,6,152590,19-Jun,5,37,57618.509,37.0,1557.257,ZAGHOUAN
1,1,152590,19-Mar,5,37,87871.7,70.0,1255.31,ZAGHOUAN
2,2,152590,19-Aug,5,37,248642.111,149.0,1668.739,ZAGHOUAN
3,3,152590,18-Feb,5,37,22543.802,17.0,1326.106,ZAGHOUAN
3,2,152590,18-Jan,5,37,13062.096,9.0,1451.344,ZAGHOUAN
1,3,152590,18-Mar,5,37,9282.742,7.0,1326.106,ZAGHOUAN
1,1,152590,18-Apr,5,37,66325.381,59.0,1124.1589999999999,ZAGHOUAN
2,1,152590,18-Dec,5,37,329190.704,262.0,1256.4530687022902,ZAGHOUAN
3,3,152590,18-Jul,5,37,56032.314,39.0,1436.7259999999999,ZAGHOUAN
3,3,152590,18-Jan,5,37,50392.028,38.0,1326.106,ZAGHOUAN
3,3,152590,18-May,5,37,61665.93,45.0,1370.354,ZAGHOUAN
2,2,152590,19-Jan,5,37,102738.816,64.0,1605.294,ZAGHOUAN
3,3,152590,18-Nov,5,37,67042.035,45.0,1489.823,ZAGHOUAN
2,1,152590,19-Jun,5,37,351961.104,264.0,1333.186,ZAGHOUAN
3,6,152590,19-Mar,5,37,53576.28,36.0,1488.23,ZAGHOUAN
3,2,152590,19-Mar,5,37,8026.47,5.0,1605.294,ZAGHOUAN
3,3,152590,18-Mar,5,37,49065.922,37.0,1326.106,ZAGHOUAN
2,2,152590,18-May,5,37,171736.515,115.0,1493.361,ZAGHOUAN
3,1,152590,19-Feb,5,37,6276.55,5.0,1255.31,ZAGHOUAN
3,3,152590,19-Feb,5,37,56552.74,38.0,1488.23,ZAGHOUAN
1,3,152590,18-Dec,5,37,16388.053,11.0,1489.823,ZAGHOUAN
3,1,152590,19-Jan,5,37,38914.61,31.0,1255.31,ZAGHOUAN
1,1,152590,19-Feb,5,37,112977.9,90.0,1255.31,ZAGHOUAN
2,1,152590,18-Jan,5,37,252699.174,234.0,1079.911,ZAGHOUAN
1,2,152590,19-Jan,5,37,69027.642,43.0,1605.294,ZAGHOUAN
3,1,152590,18-Jun,5,37,10714.779,9.0,1190.531,ZAGHOUAN
2,2,152590,18-Oct,5,37,189603.226,118.0,1606.807,ZAGHOUAN
2,1,152590,18-Nov,5,37,378327.803,301.0,1256.903,ZAGHOUAN
3,1,152590,18-Nov,5,37,3770.709,3.0,1256.903,ZAGHOUAN
1,1,152590,18-Jun,5,37,46090.519,41.0,1124.159,ZAGHOUAN
3,2,152590,19-Jan,5,37,20868.822,13.0,1605.294,ZAGHOUAN
2,2,152590,19-Mar,5,37,105949.404,66.0,1605.2939999999999,ZAGHOUAN
2,1,152590,19-Oct,5,37,232920.275,175.0,1330.973,ZAGHOUAN
2,2,152590,19-Oct,5,37,155192.727,93.0,1668.739,ZAGHOUAN
2,2,152590,18-Feb,5,37,65310.48,45.0,1451.344,ZAGHOUAN
2,1,152590,18-May,5,37,246190.821,219.0,1124.1589999999999,ZAGHOUAN
2,2,152590,18-Dec,5,37,176686.737,110.0,1606.2430636363636,ZAGHOUAN
2,1,152590,18-Jul,5,37,323824.432,272.0,1190.531,ZAGHOUAN
2,1,152590,18-Jun,5,37,263799.958,230.0,1146.9563391304348,ZAGHOUAN
2,2,152590,19-May,5,37,202171.64,121.0,1670.8400000000001,ZAGHOUAN
1,6,152590,19-May,5,37,10900.799,7.0,1557.257,ZAGHOUAN
2,6,152590,19-Mar,5,37,7441.15,5.0,1488.23,ZAGHOUAN
1,1,152590,18-May,5,37,48338.837,43.0,1124.1589999999999,ZAGHOUAN
3,1,152590,18-Jul,5,37,5952.655,5.0,1190.531,ZAGHOUAN
2,1,152590,18-Aug,5,37,269060.006,226.0,1190.531,ZAGHOUAN
3,2,152590,18-Aug,5,37,18676.632,12.0,1556.3860000000002,ZAGHOUAN
1,2,152590,18-Sep,5,37,35349.754,22.0,1606.807,ZAGHOUAN
2,2,152590,19-Feb,5,37,136449.99,85.0,1605.2939999999999,ZAGHOUAN
1,1,152590,19-May,5,37,54660.626,41.0,1333.186,ZAGHOUAN
2,6,152590,19-Sep,5,37,63756.804,41.0,1555.0439999999999,ZAGHOUAN
2,2,152590,19-Jul,5,37,225433.138,135.0,1669.8750962962963,ZAGHOUAN
3,1,152590,18-Dec,5,37,27651.866,22.0,1256.903,ZAGHOUAN
1,2,152590,19-May,5,37,26733.44,16.0,1670.84,ZAGHOUAN
2,1,152590,19-Jul,5,37,314368.549,236.0,1332.070122881356,ZAGHOUAN
2,1,152590,18-Apr,5,37,234949.231,209.0,1124.159,ZAGHOUAN
2,1,152590,19-Jan,5,37,160679.68,128.0,1255.31,ZAGHOUAN
2,2,152590,18-Sep,5,37,169766.911,106.0,1601.5746320754715,ZAGHOUAN
3,3,152590,18-Oct,5,37,38735.398,26.0,1489.823,ZAGHOUAN
3,3,152590,19-Jan,5,37,35717.52,24.0,1488.2299999999998,ZAGHOUAN
2,3,152590,19-Apr,5,37,62290.28,40.0,1557.257,ZAGHOUAN
2,6,152590,19-May,5,37,4671.771,3.0,1557.2569999999998,ZAGHOUAN
2,6,152590,19-Aug,5,37,71532.024,46.0,1555.044,ZAGHOUAN
3,3,152590,18-Dec,5,37,46162.211,31.0,1489.1035806451614,ZAGHOUAN
2,2,152590,19-Jun,5,37,220550.88,132.0,1670.8400000000001,ZAGHOUAN
2,2,152590,19-Apr,5,37,218880.04,131.0,1670.8400000000001,ZAGHOUAN
2,1,152590,19-Aug,5,37,254215.843,191.0,1330.973,ZAGHOUAN
1,2,152590,18-May,5,37,29867.22,20.0,1493.361,ZAGHOUAN
1,2,152590,18-Dec,5,37,40170.175,25.0,1606.807,ZAGHOUAN
1,1,152590,18-Aug,5,37,21429.558,18.0,1190.531,ZAGHOUAN
3,1,152590,18-Oct,5,37,11312.127,9.0,1256.903,ZAGHOUAN
2,1,152590,18-Feb,5,37,153347.362,142.0,1079.911,ZAGHOUAN
2,2,152590,18-Apr,5,37,147842.739,99.0,1493.361,ZAGHOUAN
1,3,152590,19-Jan,5,37,19346.99,13.0,1488.23,ZAGHOUAN
1,2,152590,18-Jun,5,37,31360.581,21.0,1493.3609999999999,ZAGHOUAN
2,2,152590,18-Mar,5,37,219152.944,151.0,1451.3439999999998,ZAGHOUAN
2,2,152590,18-Feb,5,37,105948.112,73.0,1451.3439999999998,ZAGHOUAN
1,2,152590,18-Apr,5,37,52267.635,35.0,1493.361,ZAGHOUAN
2,2,152590,18-Jul,5,37,214781.268,138.0,1556.386,ZAGHOUAN
3,3,152590,18-Aug,5,37,53158.862,37.0,1436.726,ZAGHOUAN
2,1,152590,18-Sep,5,37,268840.333,215.0,1250.420153488372,ZAGHOUAN
1,1,152590,18-Sep,5,37,51533.023,41.0,1256.903,ZAGHOUAN
3,2,152590,18-Sep,5,37,12854.456,8.0,1606.807,ZAGHOUAN
1,2,152590,19-Sep,5,37,18356.129,11.0,1668.739,ZAGHOUAN
2,1,152590,19-Mar,5,37,217168.63,173.0,1255.31,ZAGHOUAN
2,2,152590,19-Sep,5,37,201917.419,121.0,1668.739,ZAGHOUAN
2,6,152590,19-Jul,5,37,63801.064,41.0,1556.123512195122,ZAGHOUAN
2,2,152590,18-Jan,5,37,175612.624,121.0,1451.344,ZAGHOUAN
2,1,152590,18-Mar,5,37,249459.441,231.0,1079.911,ZAGHOUAN
1,1,152590,19-Jan,5,37,101680.11,81.0,1255.31,ZAGHOUAN
1,2,152590,18-Aug,5,37,52917.124,34.0,1556.3860000000002,ZAGHOUAN
3,1,152590,18-Sep,5,37,32679.478,26.0,1256.903,ZAGHOUAN
3,2,152590,18-Nov,5,37,11247.649,7.0,1606.807,ZAGHOUAN
2,3,152590,19-May,5,37,46717.71,30.0,1557.257,ZAGHOUAN
1,3,152590,19-Feb,5,37,7441.15,5.0,1488.23,ZAGHOUAN
2,1,152590,19-Sep,5,37,292814.06,220.0,1330.973,ZAGHOUAN
1,2,152590,18-Feb,5,37,8708.064,6.0,1451.344,ZAGHOUAN
1,3,152590,18-Feb,5,37,25196.014,19.0,1326.106,ZAGHOUAN
1,1,152590,18-Mar,5,37,43196.44,40.0,1079.911,ZAGHOUAN
3,3,152590,18-Jun,5,37,50062.836,36.0,1390.6343333333334,ZAGHOUAN
1,2,152590,18-Oct,5,37,35349.754,22.0,1606.807,ZAGHOUAN
2,2,152590,18-Nov,5,37,184782.805,115.0,1606.807,ZAGHOUAN
2,1,152590,19-Apr,5,37,317298.268,238.0,1333.186,ZAGHOUAN
1,2,152590,19-Mar,5,37,88291.17,55.0,1605.2939999999999,ZAGHOUAN
2,6,152590,19-Oct,5,37,40431.144,26.0,1555.044,ZAGHOUAN
