NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
4,3,154580,18-Mar,22,25,53044.24,40.0,1326.106,ZARZIS
3,1,154580,18-Nov,22,25,11312.127,9.0,1256.903,ZARZIS
1,1,154580,18-Feb,22,25,2159.822,2.0,1079.911,ZARZIS
1,2,154580,18-Nov,22,25,20888.491,13.0,1606.8070000000002,ZARZIS
4,1,154580,19-Feb,22,25,67786.74,54.0,1255.3100000000002,ZARZIS
1,6,154580,19-Sep,22,25,32655.924,21.0,1555.0439999999999,ZARZIS
1,2,154580,19-Apr,22,25,66833.6,40.0,1670.8400000000001,ZARZIS
1,1,154580,19-May,22,25,90656.648,68.0,1333.186,ZARZIS
4,1,154580,19-Oct,22,25,69210.596,52.0,1330.9730000000002,ZARZIS
4,2,154580,19-Mar,22,25,46553.526,29.0,1605.2939999999999,ZARZIS
4,2,154580,19-Nov,22,25,55068.387,33.0,1668.739,ZARZIS
4,1,154580,18-May,22,25,51711.314,46.0,1124.1589999999999,ZARZIS
1,2,154580,18-Aug,22,25,281705.866,181.0,1556.386,ZARZIS
4,3,154580,18-Aug,22,25,114938.08,80.0,1436.726,ZARZIS
1,3,154580,19-Jan,22,25,31252.83,21.0,1488.23,ZARZIS
4,3,154580,18-Nov,22,25,26816.814,18.0,1489.8229999999999,ZARZIS
1,6,154580,19-May,22,25,48274.967,31.0,1557.2569999999998,ZARZIS
2,1,154580,19-Jul,22,25,7999.116,6.0,1333.186,ZARZIS
4,1,154580,18-Feb,22,25,33477.241,31.0,1079.911,ZARZIS
1,2,154580,19-Jan,22,25,35316.468,22.0,1605.294,ZARZIS
1,1,154580,18-Dec,22,25,15079.65,12.0,1256.6375,ZARZIS
2,1,154580,18-Aug,22,25,10714.779,9.0,1190.531,ZARZIS
4,3,154580,18-Jun,22,25,25529.208,18.0,1418.2893333333332,ZARZIS
1,3,154580,18-Oct,22,25,17877.876,12.0,1489.823,ZARZIS
1,1,154580,19-Apr,22,25,109321.252,82.0,1333.186,ZARZIS
1,1,154580,19-Jun,22,25,19997.79,15.0,1333.1860000000001,ZARZIS
1,6,154580,19-Jun,22,25,18687.084,12.0,1557.2569999999998,ZARZIS
1,2,154580,19-Jul,22,25,40053.938,24.0,1668.9140833333333,ZARZIS
1,2,154580,18-Dec,22,25,35334.624,22.0,1606.1192727272728,ZARZIS
4,3,154580,18-Jul,22,25,84766.834,59.0,1436.726,ZARZIS
1,3,154580,18-Aug,22,25,28734.52,20.0,1436.726,ZARZIS
4,2,154580,18-Sep,22,25,71852.526,45.0,1596.7228,ZARZIS
1,1,154580,18-Jun,22,25,28103.975,25.0,1124.1589999999999,ZARZIS
1,3,154580,18-Nov,22,25,35755.752,24.0,1489.823,ZARZIS
3,3,154580,19-Jan,22,25,5952.92,4.0,1488.23,ZARZIS
1,1,154580,19-Aug,22,25,133097.3,100.0,1330.973,ZARZIS
1,1,154580,19-Mar,22,25,38914.61,31.0,1255.31,ZARZIS
4,2,154580,19-Sep,22,25,20024.868,12.0,1668.7389999999998,ZARZIS
2,1,154580,19-Sep,22,25,7985.838,6.0,1330.973,ZARZIS
1,2,154580,19-Oct,22,25,10012.434,6.0,1668.7389999999998,ZARZIS
4,1,154580,18-Jan,22,25,47516.084,44.0,1079.911,ZARZIS
4,3,154580,18-Feb,22,25,30500.438,23.0,1326.106,ZARZIS
4,2,154580,18-Mar,22,25,29026.88,20.0,1451.344,ZARZIS
1,2,154580,18-May,22,25,5973.444,4.0,1493.361,ZARZIS
4,1,154580,18-Jul,22,25,72622.391,61.0,1190.531,ZARZIS
