NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
3,3,155770,18-Feb,6,40,53044.24,40.0,1326.106,ZARZOUNA
3,3,155770,18-Dec,6,40,72979.025,49.0,1489.367857142857,ZARZOUNA
3,2,155770,18-Jul,6,40,196104.636,126.0,1556.386,ZARZOUNA
3,3,155770,18-Jul,6,40,66089.396,46.0,1436.7259999999999,ZARZOUNA
3,2,155770,18-Oct,6,40,176748.77,110.0,1606.807,ZARZOUNA
3,2,155770,19-Aug,6,40,253648.328,152.0,1668.739,ZARZOUNA
3,2,155770,19-Jul,6,40,250457.92,150.0,1669.7194666666667,ZARZOUNA
3,6,155770,19-Jun,6,40,73191.079,47.0,1557.257,ZARZOUNA
3,2,155770,19-Oct,6,40,206923.636,124.0,1668.739,ZARZOUNA
3,5,155770,19-May,6,40,5127.876,3.0,1709.2920000000001,ZARZOUNA
3,2,155770,19-Dec,6,40,201917.419,121.0,1668.739,ZARZOUNA
3,1,155770,18-Jul,6,40,130958.41,110.0,1190.531,ZARZOUNA
3,5,155770,18-Aug,6,40,6313.276,4.0,1578.319,ZARZOUNA
3,2,155770,18-Jun,6,40,179852.809,119.0,1511.3681428571429,ZARZOUNA
2,2,155770,19-Feb,6,40,9631.764,6.0,1605.2939999999999,ZARZOUNA
3,1,155770,19-Sep,6,40,135759.246,102.0,1330.9730000000002,ZARZOUNA
3,2,155770,19-Apr,6,40,193817.44,116.0,1670.84,ZARZOUNA
3,1,155770,18-Mar,6,40,105831.278,98.0,1079.911,ZARZOUNA
3,3,155770,18-Nov,6,40,64062.389,43.0,1489.823,ZARZOUNA
3,3,155770,18-Aug,6,40,79019.93,55.0,1436.7259999999999,ZARZOUNA
3,5,155770,18-Oct,6,40,9788.496,6.0,1631.416,ZARZOUNA
3,1,155770,19-Jun,6,40,131985.414,99.0,1333.186,ZARZOUNA
3,2,155770,18-Mar,6,40,185772.032,128.0,1451.344,ZARZOUNA
3,1,155770,18-Apr,6,40,109043.423,97.0,1124.1589999999999,ZARZOUNA
3,1,155770,18-May,6,40,106795.105,95.0,1124.1589999999999,ZARZOUNA
2,1,155770,18-May,6,40,3372.477,3.0,1124.1589999999999,ZARZOUNA
3,3,155770,19-Jan,6,40,61017.43,41.0,1488.23,ZARZOUNA
3,2,155770,18-Aug,6,40,205442.952,132.0,1556.386,ZARZOUNA
1,3,155770,18-Oct,6,40,14898.23,10.0,1489.8229999999999,ZARZOUNA
3,4,155770,19-Jun,6,40,7294.452,4.0,1823.613,ZARZOUNA
3,5,155770,19-Apr,6,40,3418.584,2.0,1709.292,ZARZOUNA
3,5,155770,19-Aug,6,40,10242.48,6.0,1707.08,ZARZOUNA
