,CODGVR,CODLOC,LIBLOC,key
0,1,75,LE BARDO,75_1
1,1,98,EL OMRANE,98_1
2,23,91,OUED ZAR HAMMOUDA 18,91_23
3,19,44,TOZEUR,44_19
5,17,61,KERKENAH,61_17
6,6,15,MENZEL BOURGUIBA,15_6
7,14,14,KALAA KBIRA,14_14
8,1,90,GAMMARTH,90_1
9,3,52,BEN AROUS,52_3
10,22,98,JERBA,98_22
11,6,40,ZARZOUNA,40_6
12,8,33,JENDOUBA,33_8
13,1,43,TUNIS VILLE,43_1
14,3,19,MOHAMADIA,19_3
15,16,13,KSOUR ESSAF,13_16
16,7,33,MEDJEZ EL BAB,33_7
17,12,15,KASSERINE,15_12
18,14,39,SIDI KHLIFA,39_14
19,3,97,BIR EL KASSAA,97_3
20,4,42,DOUALA,42_4
21,5,18,MOGRANE,18_5
22,14,28,SOUSSE,28_14
23,22,54,EL KETF,54_22
24,16,2,MAHDIA,2_16
25,17,55,SKHIRA,55_17
27,1,83,EZZOUHOUR,83_1
29,11,50,HAJEB EL AYOUN,50_11
31,1,40,SIDI BOUSAID,40_1
32,13,19,ERREGUEB,19_13
33,14,25,M'SAKEN,25_14
34,20,62,SOUK LAHAD,62_20
35,13,40,MENZEL BOUZAIENE,40_13
36,6,1,BIZERTE,1_6
37,2,94,CEBALET B AMMAR,94_2
39,2,91,M'NIHLA,91_2
40,14,8,HERGLA,8_14
41,21,1,GABES,1_21
42,16,38,SOUASSI,38_16
44,17,30,AGAREB,30_17
45,23,37,TATAOUINE,37_23
46,6,5,RAS DJEBEL,5_6
47,14,13,KONDAR,13_14
48,22,47,BEN GUERDENE,47_22
49,12,23,SBIBA,23_12
50,4,6,AZMOUR,6_4
51,12,20,MAGEL BEL ABBES,20_12
52,21,22,EL HAMMA,22_21
53,6,58,JBEL EL KEBIR,58_6
54,6,45,UTIQUE,45_6
55,21,68,MENZEL EL HABIB,68_21
57,15,17,ZERAMDINE,17_15
58,11,27,CHERARDA,27_11
59,2,12,ARIANA,12_2
60,23,56,SMAR,56_23
64,16,21,ERRCHARCHA,21_16
65,9,74,DJERISSA,74_9
67,5,25,HAMMAM ZRIBA,25_5
69,21,37,KETTANA,37_21
73,22,25,ZARZIS,25_22
76,14,21,SIDI EL HENI,21_14
77,17,67,SFAX,67_17
78,6,8,GHAR EL MELEH,8_6
79,7,19,AMDOUN,19_7
80,10,31,SILIANA,31_10
82,14,27,HAMMAM SOUSSE,27_14
83,15,11,MENZEL ENNOUR,11_15
85,5,37,ZAGHOUAN,37_5
87,21,29,TEBOULBOU,29_21
88,1,79,KSAR SAID,79_1
89,14,9,SIDI BOU ALI,9_14
90,4,26,GROMBALIA,26_4
91,3,38,NAASEN,38_3
95,15,4,EL OUERDANINE,4_15
96,15,30,TEBOULBA,30_15
97,15,8,BEMBLA,8_15
98,4,11,MENZEL TEMIME,11_4
100,15,28,MOKNINE,28_15
102,11,6,OUESLATIA,6_11
103,13,29,BEN AOUN,29_13
108,4,47,MAAMOURA,47_4
110,1,65,EL AOUINA,65_1
113,16,44,OULED CHAMEKH,44_16
114,18,49,EL GUETAR,49_18
115,15,10,MENZEL HARB,10_15
116,21,2,GHANNOUCHE,2_21
119,14,38,BOUFICHA,38_14
120,16,49,CHORBANE,49_16
121,3,17,BORJ CEDRIA,17_3
122,4,68,BELLI,68_4
124,3,22,BOUMHAL,22_3
127,4,10,KELIBIA,10_4
133,12,1,THALA,1_12
134,12,28,SBEITLA,28_12
138,16,25,MELLOULECH,25_16
140,22,3,JORF,3_22
141,5,19,EL FAHS,19_5
142,3,36,FOUCHANA,36_3
143,13,6,JELMA,6_13
144,1,58,CITE ELKHADRA,58_1
149,4,5,TOZGRANE,5_4
150,16,8,REJICHE,8_16
151,1,41,BAB SAADOUN,41_1
152,13,43,MEKNASSY,43_13
153,18,34,GAFSA,34_18
157,23,36,OUED EL GHAR,36_23
158,18,37,MOULARES,37_18
159,3,15,RADES,15_3
161,10,3,BOUARADA,3_10
163,10,7,GAAFOUR,7_10
164,18,30,SNED,30_18
168,24,2,DENDEN,2_24
178,22,14,MEDENINE,14_22
179,6,2,MENZEL ABDERRAHMAN,2_6
184,17,45,GHREIBA,45_17
187,20,31,DOUZ,31_20
189,4,36,NABEUL,36_4
191,22,95,KOUTINE,95_22
192,20,12,OUM ESSOUMAA,12_20
194,9,5,LE KEF,5_9
203,7,34,I D E N,34_7
204,4,35,HAMMAMET,35_4
205,17,44,MAHRES,44_17
213,13,25,SIDI BOUZID,25_13
214,16,1,CHEBBA,1_16
215,14,6,MENZEL DAR BEL OUAER,6_14
217,4,2,EL HAOUARIA,2_4
225,1,47,KABARIA,47_1
233,9,50,LE SERS,50_9
238,1,13,LA GOULETTE,13_1
239,2,13,ENNASR,13_2
240,7,7,OUECHTATA,7_7
242,24,17,BORJ EL AMRI,17_24
245,17,1,JBENIANA,1_17
248,23,80,DHIBA,80_23
251,7,57,SLOUGUIA,57_7
256,7,23,BEJA,23_7
259,17,38,EL BDARNA,38_17
261,4,24,BENI-KHALED,24_4
262,20,15,KEBILI,15_20
264,5,13,BIR MCHERGUA,13_5
272,4,30,BOUARGOUB,30_4
276,1,20,TUNIS CARTHAGE,20_1
278,1,92,CHERGUIA 1,92_1
280,11,42,EL ALA,42_11
287,14,34,BOURJINE,34_14
291,8,1,TABARKA,1_8
319,11,13,KAIROUAN,13_11
323,11,21,SIDI AMOR BOUHAJLA,21_11
329,2,93,RAOUED,93_2
331,1,1,A definir,1_1
338,11,36,ROUISSET,36_11
345,16,35,EL JEM,35_16
347,10,24,BARGOU,24_10
354,17,18,MENZEL CHAKER,18_17
356,3,21,MORNAG,21_3
359,5,12,DJEBEL EL OUEST,12_5
373,15,38,KSAR HELLAL,38_15
379,7,81,SIDI SMAIL,81_7
381,20,58,BEZMA,58_20
386,17,25,BIR EL MALLOULI,25_17
387,15,98,TOUZA,98_15
390,2,42,SIDI THABET,42_2
393,6,17,MATEUR,17_6
404,1,34,CARTHAGE,34_1
407,17,21,SIDI ALI BEN ABID,21_17
419,8,39,GHAR DIMAOU,39_8
422,3,16,HAMMAM-LIF,16_3
424,23,95,BIR LAHMAR,95_23
427,4,21,KORBA,21_4
431,1,46,EL OUARDIA,46_1
433,6,10,EL ALIA,10_6
442,22,61,EL BIBENE,61_22
446,12,77,FOUSSANA,77_12
448,15,1,MONASTIR,1_15
466,17,9,LOUZA,9_17
470,14,1,ENFIDAVILLE,1_14
473,5,34,NADOUR,34_5
476,19,81,HASOUA,81_19
481,18,22,SIDI IICH,22_18
487,12,19,FERIANA,19_12
490,13,18,OULED HAFFOUZ,18_13
491,6,3,MENZEL  JEMIL,3_6
523,2,14,MANOUBA,14_2
531,2,53,MORNAGUIA,53_2
532,2,5,TEBOURBA,5_2
556,18,69,KAF CHFAIER,69_18
587,17,5,HENCHA,5_17
589,2,39,OUED ELLIL,39_2
593,23,62,REMADA,62_23
595,6,80,61 REGIMENT DE GENIE,80_6
601,8,9,AIN DRAHEM,9_8
605,13,48,EL MAZZOUNA,48_13
610,4,22,SOLIMAN,22_4
616,18,71,JALLABIA,71_18
617,8,22,BOUSALEM,22_8
647,23,50,EL MORRA,50_23
651,18,38,REDAYEF,38_18
659,21,5,OUEDHREF,5_21
660,17,29,TINA,29_17
670,21,49,MARETH,49_21
674,17,13,EL AMRA,13_17
679,11,55,CHEBIKA,55_11
691,1,48,MONTFLEURY,48_1
694,19,46,NEFTA,46_19
711,22,22,EL KANTRA,22_22
716,24,10,MORNAGUIA,10_24
738,22,1,HOUMT SOUK,1_22
741,11,54,EL BATEN,54_11
755,1,12,SEDJOUMI,12_1
762,15,16,MENZEL EL HAYET,16_15
767,20,16,JANHOURA,16_20
775,21,40,MATMATA,40_21
777,9,62,EL KSOUR,62_9
786,22,16,BOUGHRARA,16_22
790,7,58,THIBAR,58_7
820,21,75,EL AOUINET,75_21
831,13,21,FAIEDH,21_13
839,11,29,MENZEL M'HIRI,29_11
844,18,42,METLAOUI,42_18
845,4,38,BENI KHIAR,38_4
846,10,35,MAKTHAR,35_10
866,6,38,SEJNENE,38_6
869,6,62,KHETMINE,62_6
879,21,4,METOUIA,4_21
893,1,50,JEBEL JELLOUD,50_1
907,10,48,ROUHIA,48_10
908,16,15,SIDI ALOUANE,15_16
915,3,53,EL MOUROUJ,53_3
924,2,61,BORJ LOUZIR,61_2
934,4,48,DAR ALLOUCHE,48_4
997,6,42,ZHENA,42_6
1002,11,53,HAFFOUZ,53_11
1062,17,74,SIDI SALAH,74_17
1088,9,8,DAHMANI,8_9
1090,17,34,MERKEZ ABBES,34_17
1128,9,15,TAJEROUINE,15_9
1131,19,45,DEGACHE,45_19
