CODLOC,LIBLOC
14,SIDI BOU ROUIS
79,D.M.A MENZ.BOURGUIBA
68,MENZEL EL HABIB
21,SIDI ALI BEN ABID
2,EL HAOUARIA
11,MENZEL TEMIME
21,A definir
8,GHAR EL MELEH
53,OUED ABID
10,MORNAGUIA
55,CHEBIKA
58,CITE ELKHADRA
49,CHORBANE
34,EL HICHERI
27,CHERARDA
44,MAHRES
21,FAIEDH
32,MESSADINE
28,CHENINI GABES
69,OUM CHIAH
65,EL ATAYA(KERKENNAH)
21,KORBA
51,ESSAIDA
97,BIR EL KASSAA
78,EL KRATEN KERKENNAH
85,BAGUEL
39,GHAR DIMAOU
39,OUED ELLIL
16,SEMENJA
48,EL MAZZOUNA
36,SAKIET EZZIT
79,RTE DE SALTANIA
51,MENZEL HACHED
44,BAHRA
28,MOKNINE
88,DJEBEL GROUZ
38,TEBOURSOUK
22,BICHKA
54,EL KETF
80,DHIBA
28,BIR EL HFAY
36,OUED EL GHAR
75,GREMDA
58,MELLITA KERKENNAH
60,REGIME MATOUG
66,LE KRAM
27,SIDI BEN NOUR
23,SBIBA
12,CABELET OUELED ASKER
98,EL OMRANE
28,OUED ZERGA
22,EL HAMMA
20,TUNIS CARTHAGE
13,KSOUR ESSAF
99,FONDOUK CHOUCHA
12,ARIANA
90,ADAM 18M3
3,JORF
39,SOUK DJEDID
10,KALAAT EL ANDALOUS
70,BORJ HFAIEDH
11,CHOTT MARIEM
15,RADES
23,BENI HASSEN
34,MERKEZ ABBES
25,BIR EL MALLOULI
93,OUED ZAR HAMMOUDA
19,EL FAHS
2,GHANNOUCHE
22,SOLIMAN
4,JEDAIDA
80,61 REGIMENT DE GENIE
10,EL ATTAR
34,GAFSA
40,ZARZOUNA
54,MEGRINE
2,MAHDIA
17,MENZEL HORR
23,FONDOK DJEDID
15,SIDI ALOUANE
18,OULED HAFFOUZ
57,OUED MELLIZ
70,CHAAL
1,TABARKA
42,DOUGGA
11,MENZEL ENNOUR
1,HOUMT SOUK
1,ENFIDAVILLE
5,TEBOURBA
28,TURKI
25,MELLOULECH
37,BOUHJAR
3,BOUCHEMMA
19,ERREGUEB
22,BOUMHAL
7,OUECHTATA
21,ERRCHARCHA
36,SIDI BOUBAKER
1,CHAOUAT
28,SOUSSE
4,EL OUERDANINE
42,AIN M'DAKHER
24,BARGOU
69,EZZAOUIA
92,CHERGUIA 1
2,SAHLINE
45,DEGACHE
59,EDDOULEB
12,FEJJA
23,BEJA
73,KEF EDDOUR OUEST
79,KSAR SAID
45,UTIQUE
56,EL AZIB
8,DAHMANI
36,FOUCHANA
39,SIDI MANSOUR
47,MAAMOURA
4,SBIKHA
38,REDAYEF
60,NEFZA
11,LA MARSA
47,BEN GUERDENE
78,OUED GUERIANA
35,AIN DJELLOULA
19,FERIANA
8,BEMBLA
29,TESTOUR
3,SAHEB EL JEBEL
62,REMADA
6,OUESLATIA
41,BAB SAADOUN
20,MAGEL BEL ABBES
5,TOZGRANE
65,EL AOUINA
21,SIDI ALI HATTAB
15,KASSERINE
74,DJERISSA
93,RAOUED
52,ZANNOUCHE
1,FETISSE
55,SKHIRA
8,MORNAGUIA
15,FERNANA
10,EL ALIA
39,SOMAA
25,M'SAKEN
56,MUTUELLE VILLE
82,ZAHROUNI
25,ZARZIS
15,TAJEROUINE
88,ZAAFRAN
38,NAASEN
1,JBENIANA
42,EL ALA
42,KESRA
10,EL KRIB
69,KAF CHFAIER
59,BEL OUM
74,HAMMAM BOURGUIBA
57,SAIDANE
61,EL BIBENE
16,HAMMAM-LIF
18,MENZEL CHAKER
30,BOUARGOUB
68,CHIHIA
67,SFAX
13,LA GOULETTE
90,GAMMARTH
93,LIMAYA
42,BAB ALIOUA
81,HASOUA
26,GROMBALIA
28,SBEITLA
5,MESJED AISSA
22,SIDI IICH
73,KHAMMOUDA
8,HAMMAM EL GHAZEZ
38,BEJAOUA
9,MENZEL SALEM
44,SIDI DAOUD
56,EL HOUAREB
74,KERKOUANE
18,OUM ALI
33,SAOUAF
44,LA KASBA
8,REJICHE
33,JENDOUBA
39,SIDI KHLIFA
57,BELVEDERE
12,DJEBEL EL OUEST
53,EL AKARIT
16,JANHOURA
96,HASSI AMOR
42,SIDI THABET
29,BEKALTA
17,BORJ EL AMRI
