place_id,place_name
ChIJC7BrPsXiARMR2VWELcxJyXw,TotalEnergies
ChIJ8TrcMv_SARMRJJWrZW0lFxs,TotalEnergies
ChIJ0_VBzu40_RIRYgyI-aTo49Q,TotalEnergies
ChIJjWkYeaxK_RIRoPU7sIE_vjo,TotalEnergies
ChIJ-WYEqLFw_RIRKtHgNdYoB3A,Shell
ChIJPw8l0Acz_RIR5LJn_Uo50bQ,Shell
ChIJUXXKAyQz_RIRroCGNKznNE8,Shell
ChIJOdMiJW2y_xIR6uZ7oi8rIB0,Shell
ChIJHaf67IT4_RIRgbELUV8hEYc,TotalEnergies
ChIJs__Ynpgz_RIRdVAEWYs-m-Q,Shell
ChIJf3-yTcEu_RIRx89A-L3SN4E,TotalEnergies
ChIJ1STAFEPL4hIRLJY8d7Nr2vc,TotalEnergies
ChIJJwvbYg8OAhMRwyhEo2O619c,Shell
ChIJ63VUhGd1AhMRtyTT7wb4Ca4,AGIL
ChIJPdTPJO204hIRh1T9kU9tygQ,TotalEnergies
ChIJxfc35BrnARMRelZb3K80Tww,TotalEnergies
ChIJ5f0z8LM0_RIRtvIaJblWaTw,Shell
ChIJt-1bJKoz_RIRwgu8S5aql54,Shell
ChIJ6WRSAWVh_RIR8HOvnabhXVg,TotalEnergies
ChIJ5RRkIzPL4hIRg9UW1PbYOgw,Shell
ChIJTZrUHJg0_RIRWEj0ndFCcF8,TotalEnergies
ChIJ14PRq2w0_RIR37lUsXIG4IY,TotalEnergies
ChIJv20eWnPg4hIRq59I2J7FcZY,Shell
ChIJf80G9lc3_RIRYjUzIrE39Wk,Shell
ChIJFalQPdQsABMRfP26UkOdyZU,Shell
ChIJUYGGx4Az_RIRR9wtC0Xmv5k,Shell
ChIJyRD9VV3AARMRXNyy98MZE4Y,TotalEnergies
ChIJGxcWHjt6_hIRpkiCVCgT6GI,TotalEnergies
ChIJZ9d6hxva4hIRe0OeqX5D-ts,TotalEnergies
ChIJLTQWgt-04hIRcXPECs51JTw,Shell
ChIJT9-f6TqK_RIREs5VHtTGxvs,Shell
ChIJ5XbXnfeK_RIRH_ep0ZnF0XE,Shell
ChIJNwlBrok0_RIRDmlKUlv_OEk,TotalEnergies
ChIJXe7Y_3w0_RIRxnlR-3Fr91A,Shell
ChIJ3wwITFmW_RIRxryekrhL6SI,StarOil
ChIJ0xLjJvcx_RIRRQqfva-a2eQ,TotalEnergies
ChIJbSglucgz_RIRA-eLqV0PtdM,Shell
ChIJXdd6587V_xIR8sb9S-_xI7I,TotalEnergies
ChIJbRnuLCw2_RIRGH2GalOMSTI,Shell
ChIJLZJAmn40_RIRRlOOwTdOQZw,TotalEnergies
ChIJGSIeIasx_RIRp3qyVJyBmo8,TotalEnergies
ChIJLRpC6jPB_BIR_qJVXvjMp4A,TotalEnergies
ChIJGSUAbcTK4hIRYrSqDVM7swc,Shell
ChIJ4zFe4QIu_RIRymqCI8rTE8E,Shell
ChIJFX3X1MYSAhMRCqq4Hv62rgk,Shell
ChIJcT3GEYI2_RIRwF7Fs6UxyrY,Shell
ChIJN3Wia95J_RIRYacUD9iDAgY,Shell
ChIJZQK8R0ET-RIRIamQo4QGqDU,Station Boulaaba
ChIJNRocvr_L4hIRa8CxXkdEtas,Shell
ChIJ032lwLxb_RIRIYu_hmL2gOQ,TotalEnergies
ChIJpc7FPZQsABMRV8Assh3bBfY,Shell
ChIJif5Dp3A2_RIRk1b-UZos5HQ,Station-service MEGRINE GP1
ChIJ_7Bwd0fU_BIRA090RW9y0No,Shell
ChIJ_RCNhHU2_RIRY0GRju7GC5c,TotalEnergies
ChIJPeOG-oZb_RIRmeETAMctu_I,TotalEnergies
ChIJvymfoU4z_RIRKtnRJZVS2AU,TotalEnergies
ChIJ9e13us4z_RIRvOT9slwA8WA,Shell
ChIJq6qqqn0LAhMR_X1tHep9Fmg,Tunisia Clean
ChIJrYIlzIAt_RIRdIumQp7G40k,Shell
ChIJN2Un6jc3_RIRrI1XRTb5iqM,TotalEnergies
ChIJqYHaKxH4_RIRZ2gCumIEMKk,TotalEnergies
ChIJeR9S8Udj_RIRsKuepdTQ4rk,Shell
ChIJzQ40ILKK_RIRN43bf7B5Ikk,Gas station
ChIJwZNv9p80_RIRGeiGICOw3r0,Shell
ChIJ66vBQGvF_RIRldRjAD6o-n0,TotalEnergies
ChIJ44qrQG91AhMRgk_4toRjLCY,Shell
ChIJMezUjf1H4xIRJgC0IXtPXPA,TotalEnergies
ChIJ-1eOMZqJ_RIRxoEfpECrAZg,Shell
ChIJP4r7Xcwf4xIRv6H_nyRzibY,TotalEnergies
ChIJfaufWtkqABMRX_Vjq-VpAw8,Shell
ChIJw3qRImcz_RIRxkeD87eef1M,StarOil
ChIJOW1c4JYz_RIRjj08WxAI2qQ,Station Mallasin
ChIJR4vs4W-y_xIR3UNZMUH26wA,StarOil
ChIJsXhI5ms0_RIRSN_1T2uyPyI,AGIL
ChIJ8ebOjrQ0_RIRFDfR02Na3JU,TotalEnergies
ChIJq_Ix9oY0_RIRjcgAZ-gJDK8,Shell
ChIJY9hOtxhL_RIR-4Awq5sbxbo,TotalEnergies
ChIJK7QjSHIj4xIRTw9x960eTd4,Shell
ChIJq_GQJgEt_RIRPeBRQzkBpcs,Shell
ChIJkWYq4RMfAhMRO_XQ3IhaTcA,TotalEnergies
ChIJnYtvfUcy_RIR5_DmBSUOia4,TotalEnergies
ChIJB8es7bEz_RIRp2oJ-bFVbLU,Shell
ChIJjyf8EuuK_RIRO2C4Md7rcLY,Shell
ChIJ94Zu67Bw_RIRVl9q5SPR1tE,AGIL
ChIJx0WihhQZAhMR75QERp7fnBY,AGIL
ChIJaXv8CjE2_RIRjNg6Eev8Jy0,TotalEnergies
ChIJ-4uUXHXb_xIR5nA3_XhTEY0,StarOil
ChIJk_cdsEgz_RIRKRH4ICXB-ko,Shell
ChIJfUHSoxER_RIRYGtCVDIa3Y0,Shell
ChIJiVrGERYy_RIRxoywjsfIex8,Shell
ChIJhznkuesrABMRuMgmDJW6rzs,Shell
ChIJM4fVXp02_RIRMRHWHI_oEYs,AGIL
ChIJ2SSn_b6hAhMRFqFP33KQ-F8,Shell
ChIJzaVV_La04hIRDKkD7w-DNtI,Shell
ChIJ87MfSoLF_RIRaMYTpXmVi-o,Shell
ChIJH_YLlAnN4hIRPp0XCt52X6M,AGIL
ChIJ9eiPgD3RARMRRfowvS5m4fk,Shell
ChIJL3KBfYY1_RIRMoQ0zS-E85o,Petrole Tunisie
ChIJFdueH4Mt_RIRBH44VofhFk4,TotalEnergies
ChIJIbeG3CZL_RIRN1fZlQU78OU,Shell
ChIJHZsaBLZh_RIRParP3L_iBDs,Shell
