place_id,place_name,review_id,rating,review_text,published_at,published_at_date,response_from_owner_text,response_from_owner_ago,response_from_owner_date,review_likes_count,total_number_of_reviews_by_reviewer,total_number_of_photos_by_reviewer,is_local_guide,review_translated_text,response_from_owner_translated_text,review_photos
ChIJC7BrPsXiARMR2VWELcxJyXw,TotalEnergies - EL JEM,ChZDSUhNMG9nS0VJQ0FnSUNwcUlHNlR3EAE,1,Plusieurs fast-food disponibles mais uniquement 6 ou 7 tables avec moins d'une dizaine de chaises... pas moyen de manger sur place. Les gens sont obliges de mettre leurs plateaux sur le bord des fenetres dont les rideaux sont degueulasses. Il aurait fallu au moins des tables hautes pour que les gens puissent manger rapidement.,11 maanden geleden,2023-07-27T19:09:02,,,,0,43,8,True,"Verschillende fastfoodrestaurants beschikbaar, maar slechts 6 of 7 tafels met minder dan tien stoelen. Mensen worden gedwongen hun dienbladen op de rand van ramen te zetten waarvan de gordijnen walgelijk zijn. Er hadden in ieder geval hoge tafels moeten zijn, zodat mensen snel konden eten.",,[]
ChIJC7BrPsXiARMR2VWELcxJyXw,TotalEnergies - EL JEM,ChZDSUhNMG9nS0VJQ0FnSUROMzQtdlZBEAE,4,"Personnel professionnel, grand choix , peut  les prix a la boutique restent un peut chers.",5 maanden geleden,2024-01-27T15:58:55,,,,1,266,802,True,"Professioneel personeel, grote selectie, prijzen in de winkel blijven misschien een beetje duur.",,[]
ChIJC7BrPsXiARMR2VWELcxJyXw,TotalEnergies - EL JEM,ChdDSUhNMG9nS0VJQ0FnSUMxX1lMNnB3RRAB,4,Bonne station essence il y a une diversite de restaurants. Point negatif il y a trop de monde car il n y a que 2 station essence sur l autoroute,6 maanden geleden,2024-01-02T17:57:54,,,,1,17,11,False,Goed tankstation met een verscheidenheid aan restaurants. Negatief punt: er zijn te veel mensen omdat er maar 2 tankstations langs de snelweg zijn,,[]
ChIJC7BrPsXiARMR2VWELcxJyXw,TotalEnergies - EL JEM,ChZDSUhNMG9nS0VJQ0FnSUNwcGRIQ0p3EAE,5,"J'ai constate que la proprete est divine a la station ! Toujours Propre toujours en bon etat  dans les arenes, sanitaires, boutique et partout. Espace vert bien entretenu. Je me regale souvent.",10 maanden geleden,2023-08-07T10:28:06,,,,1,1,0,False,"Ik heb gemerkt dat de netheid op het station goddelijk is! Altijd schoon, altijd in goede staat in de arena's, toiletten, winkels en overal. Goed onderhouden groene ruimte. Ik geniet er vaak van.",,[]
ChIJC7BrPsXiARMR2VWELcxJyXw,TotalEnergies - EL JEM,ChdDSUhNMG9nS0VJQ0FnSUNSMlBlZ2lRRRAB,2,"Prix tres exageres
Infrastructure a reparer
Toilettes propres",een jaar geleden,2023-03-24T17:36:27,,,,0,158,674,True,"Zeer overdreven prijzen
Infrastructuur om te repareren
Schone toiletten",,"[""https://lh5.googleusercontent.com/p/AF1QipMTMCyDP9jz3uYJkii-1p0J7SjcVhWBwiFs0zgH=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipMgf7nUCSYw7PcFyi75Klp1_4HMKycGhAe4ixQm=w150-h150-k-no-p"", ""https://lh5.googleusercontent.com/p/AF1QipNGpWjERpC03TcP2pq_Mc9u5xblw0Lxshl90FMT=w150-h150-k-no-p""]"
ChIJC7BrPsXiARMR2VWELcxJyXw,TotalEnergies - EL JEM,ChZDSUhNMG9nS0VJQ0FnSURwZ0wtTVVBEAE,2,Personnels sans sourire ni rien... cest incroyable d'etre servis par des gens pareils. Je suis tunisien et ce genre de comportement fait honte a mon pays,10 maanden geleden,2023-08-13T23:38:43,,,,0,73,19,True,Personeel zonder glimlach of zoiets. Het is ongelooflijk om door zulke mensen bediend te worden. Ik ben Tunesier en dit soort gedrag brengt mijn land te schande,,[]
ChIJC7BrPsXiARMR2VWELcxJyXw,TotalEnergies - EL JEM,ChZDSUhNMG9nS0VJQ0FnSURONnUzZFBBEAE,5,"Bonjour,
La borne de recharge electrique fonctionne ?
Si oui,payante?",5 maanden geleden,2024-01-21T18:15:54,,,,0,7,0,False,"Hallo,
Werkt het elektrische laadstation?
Zo ja, betaald?",,[]
ChIJC7BrPsXiARMR2VWELcxJyXw,TotalEnergies - EL JEM,ChdDSUhNMG9nS0VJQ0FnSUNweTUzLTRBRRAB,1,"Il est scandaleux de trouver des prix aussi exorbitants alors que la distance entre un autre point est superieur a 200km.
Revoyez vos prix pour tout ce qui est encas car les gens vont de acheter de toute manieres.",10 maanden geleden,2023-08-10T14:19:20,,,,0,14,19,True,"Het is schandalig om zulke exorbitante prijzen te vinden als de afstand tussen een ander punt groter is dan 200 km.
Controleer uw prijzen voor alle snacks, want mensen gaan ze toch kopen.",,[]
ChIJ8TrcMv_SARMRJJWrZW0lFxs,TotalEnergies - Sakiet Ezzit,ChdDSUhNMG9nS0VJQ0FnSUNCLXJ2VXB3RRAB,5,"Une bonne journee commence toujours par
un bon cafe bonjour  .",een jaar geleden,2022-12-23T13:09:53,,,,0,1,1,False,"Een goede dag begint altijd met
goede koffie hallo .",,"[""https://lh5.googleusercontent.com/p/AF1QipP6CJaUIaTrrBZe7dawEH7JCCytDvNfdXd85ExC=w150-h150-k-no-p""]"
ChIJ8TrcMv_SARMRJJWrZW0lFxs,TotalEnergies - Sakiet Ezzit,ChdDSUhNMG9nS0VJQ0FnSUNCN1BhUzBBRRAB,5,"J'achete mon carburant dans cette station depuis le l'arrivee du nouveau gerant.
Tres bon accueil, le service est digne de 5 etoile, competence et efficacite.. bref totale satisfaction",een jaar geleden,2022-12-19T13:36:42,,,,0,1,0,False,"Sinds de komst van de nieuwe manager koop ik mijn brandstof op dit station.
Zeer warm welkom, de service is 5 sterren waard, competentie en efficientie... kortom totale tevredenheid",,[]
ChIJ8TrcMv_SARMRJJWrZW0lFxs,TotalEnergies - Sakiet Ezzit,ChZDSUhNMG9nS0VJQ0FnSUNCN1BxcEFnEAE,5,"service de haute qualite, personnels rigoureux et accueillants et de bon conseils..grace a un directeur bien veillant a la satisfaction des clients
une station propre et facile d'acce",een jaar geleden,2022-12-19T13:22:18,,,,0,1,0,False,"service van hoge kwaliteit, streng en gastvrij personeel en goed advies..dankzij een manager die zorg draagt   voor de klanttevredenheid
een schoon en gemakkelijk toegankelijk station",,[]
ChIJ8TrcMv_SARMRJJWrZW0lFxs,TotalEnergies - Sakiet Ezzit,ChdDSUhNMG9nS0VJQ0FnSUNCd2JpcWpRRRAB,5,"Un bon service avec des personnels serviables
Bravo",een jaar geleden,2022-12-27T13:26:28,,,,0,2,2,False,"Goede service met behulpzaam personeel
Goed gedaan",,[]
ChIJ8TrcMv_SARMRJJWrZW0lFxs,TotalEnergies - Sakiet Ezzit,ChZDSUhNMG9nS0VJQ0FnSUNCa3ZydElREAE,5,Accueil chaleureux et tres bon service bravo ,een jaar geleden,2022-12-21T06:17:00,,,,0,2,3,False,Warm welkom en zeer goede service goed gedaan ,,[]
ChIJ8TrcMv_SARMRJJWrZW0lFxs,TotalEnergies - Sakiet Ezzit,ChdDSUhNMG9nS0VJQ0FnSUNCbk1XaTNnRRAB,5,Le service tres bon je vous siuhaite beaucoup des succes merci total ,een jaar geleden,2022-12-19T17:34:28,,,,1,1,0,False,"De service is heel goed, ik wens jullie heel veel succes, bedankt allemaal ",,[]
ChIJ8TrcMv_SARMRJJWrZW0lFxs,TotalEnergies - Sakiet Ezzit,ChdDSUhNMG9nS0VJQ0FnSUNCb3BlVDVnRRAB,5,"un bon service et proprete partout avec une bonne qualitee de carburant  acceuil chaleureux personnels respectueux
Je vous remercier et je reviendrai toujours",een jaar geleden,2022-12-20T21:26:29,,,,1,1,0,False,"overal goede service en netheid met brandstof van goede kwaliteit, warm welkom respectvol personeel
Ik dank je en ik zal altijd terugkomen",,[]
ChIJ8TrcMv_SARMRJJWrZW0lFxs,TotalEnergies - Sakiet Ezzit,ChdDSUhNMG9nS0VJQ0FnSUNCblBtT2hBRRAB,5,Le service c'est tres excellente,een jaar geleden,2022-12-19T17:30:55,,,,0,1,0,False,De service is zeer uitstekend,,[]
ChIJ0_VBzu40_RIRYgyI-aTo49Q,Station Service TotalEnergies Olympique,ChZDSUhNMG9nS0VJQ0FnSUMxMHB2V2R3EAE,1,"Attention VOLEURS!
Nous y somme alles pour mettre 20EUR d'essence, il nous mets pour 20 dinar et nous dit qu'il y a pas de change ici alors que avant il nous a dit que c'etait  bon.
De vrai VOLEURS!",6 maanden geleden,2023-12-26T20:14:14,"Cher client,
Nous sommes desoles d'apprendre que vous n'etes pas satisfait de notre service. Nous sommes toujours a l'ecoute des retours de nos clients et nous prenons vos commentaires tres au serieux afin de pouvoir ameliorer notre service a l'avenir. Si vous avez des suggestions ou des remarques specifiques, n'hesitez pas a nous contacter pour que nous puissions discuter de votre experience en detail. 
Nous restons a disposition. Merci
L'equipe TotalEnergies Tunisie",5 maanden geleden,2024-01-08T14:10:46,0,5,0,False,"Pas op voor DIEVEN!
We gingen erheen om 20EUR benzine in te leveren, hij gaf ons 20 dinars en vertelde ons dat er hier geen uitwisseling was, terwijl hij ons voorheen vertelde dat het goed was.
Echte DIEVEN!","Beste klant,
Het spijt ons te horen dat u niet tevreden bent over onze service. We luisteren altijd naar de feedback van onze klanten en nemen uw opmerkingen zeer serieus, zodat we onze service in de toekomst kunnen verbeteren. Als u specifieke suggesties of opmerkingen heeft, aarzel dan niet om contact met ons op te nemen, zodat we uw ervaring in detail kunnen bespreken.
Wij blijven beschikbaar. Dankjewel
Het TotalEnergies Tunesie-team",[]
ChIJ0_VBzu40_RIRYgyI-aTo49Q,Station Service TotalEnergies Olympique,ChZDSUhNMG9nS0VJQ0FnSUQ5a0tYV1hnEAE,1,"Service tres tres mediocre
Totale faut voir avec vos services cet points de vente est un point noir par rapport aux autres
Grave Grave",3 maanden geleden,2024-03-12T09:55:34,"Bonjour M. BENAYED MAHER,
Au nom de toute l'equipe TotalEnergies Marketing Tunisie, nous sommes navres pour cette experience. Serait-il possible de nous fournir plus de details concernant votre reclamation ? Merci.",3 maanden geleden,2024-03-18T11:07:57,0,2,5,False,"Heel erg slechte service
Totaal moet gezien worden met uw diensten, deze verkooppunten zijn een zwart punt vergeleken met de anderen
Ernstig Ernstig","Hallo meneer BENAYED MAHER,
Namens het hele team van TotalEnergies Marketing Tunisie betreuren wij deze ervaring. Kunt u ons meer informatie geven over uw klacht? Dankjewel.",[]
ChIJ0_VBzu40_RIRYgyI-aTo49Q,Station Service TotalEnergies Olympique,ChdDSUhNMG9nS0VJQ0FnSUNnMlpmanFnRRAB,3,une station uniquement pour carburant absence totale dans total d'autres services meme pas une bouteille d'eau,7 jaar geleden,2017-04-13T01:45:49,,,,2,367,1529,True,"een station alleen voor brandstof totale afwezigheid in totaal andere diensten, zelfs geen fles water",,"[""https://lh5.googleusercontent.com/p/AF1QipNQEjbmGTtnfSOzK6amDBMgnk3NRRuK_N99u2Tc=w150-h150-k-no-p""]"
ChIJ0_VBzu40_RIRYgyI-aTo49Q,Station Service TotalEnergies Olympique,ChdDSUhNMG9nS0VJQ0FnSUNCZ19yZWd3RRAB,1,"Mauvais Service. Mauvais Accueil.Personnels impolis et non professionnels.
Je ne recommande pas.",een jaar geleden,2023-01-02T20:35:01,,,,0,1,0,False,"Slechte service. Slechte ontvangst. Onbeleefd en onprofessioneel personeel.
Ik raad het niet aan.",,[]
ChIJ0_VBzu40_RIRYgyI-aTo49Q,Station Service TotalEnergies Olympique,ChdDSUhNMG9nS0VJQ0FnSURCOTlXbDdRRRAB,1,"La pire station Total sur le territoire ! Toujours des pompes non fonctionnelles, personnel reduit au minimum, pas agreable, attente...",een jaar geleden,2023-01-31T13:29:58,,,,0,8,2,False,"Het slechtste Totalstation van het land! Altijd niet-functionerende pompen, personeel tot een minimum beperkt, niet prettig, wachten...",,[]
