NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT
2,1,151140,18-Feb,1,75,28077.686,26,1079.911
3,1,153660,18-Jan,6,15,82073.236,76,1079.911
2,2,154730,18-Feb,14,14,55151.072,38,1451.344
2,2,155330,18-Feb,1,90,134974.992,93,1451.344
2,1,154450,18-Feb,3,52,96112.079,89,1079.911
3,3,155770,18-Feb,6,40,53044.24,40,1326.106
2,1,154880,18-Feb,8,33,77753.592,72,1079.911
2,2,155670,18-Feb,7,33,104496.768,72,1451.344
2,1,155820,18-Feb,14,39,103671.456,96,1079.911
2,2,155720,18-Feb,3,97,320747.024,221,1451.344
2,2,151560,18-Feb,4,42,2902.688,2,1451.344
3,3,151770,18-Feb,14,28,29174.332,22,1326.106
2,2,154420,18-Mar,1,83,216250.256,149,1451.344
1,3,152220,18-Mar,19,44,64979.194,49,1326.106
1,1,153420,18-Jan,11,50,194383.98,180,1079.911
2,2,152930,18-Jan,1,40,248179.824,171,1451.344
1,1,153930,18-Jan,13,19,116630.388,108,1079.911
1,2,152860,18-Jan,14,25,79823.92,55,1451.344
1,2,155610,18-Jan,20,62,34832.256,24,1451.344
1,1,155580,18-Jan,13,40,110150.922,102,1079.911
3,2,150470,18-Jan,6,1,230763.696,159,1451.344
2,2,153650,18-Jan,2,94,208993.536,144,1451.344
2,2,152510,18-Jan,2,91,194480.096,134,1451.344
1,1,151030,18-Jan,21,1,122029.943,113,1079.911
1,2,155360,18-Jan,16,38,58053.76,40,1451.344
1,1,155360,18-Jan,16,38,233260.776,216,1079.911
1,1,154270,18-Jan,17,30,340171.965,315,1079.911
3,2,155710,18-Jan,6,5,87080.64,60,1451.344
3,3,152800,18-Jan,14,13,18565.484,14,1326.106
2,2,152170,18-Jan,4,6,21770.16,15,1451.344
1,1,151620,18-Jan,12,20,154427.273,143,1079.911
1,1,153060,18-Jan,21,68,100431.723,93,1079.911
3,3,154870,18-Jan,14,28,79566.36,60,1326.106
1,1,155200,18-Jan,11,27,272137.572,252,1079.911
4,1,153430,18-Jan,23,56,69114.304,64,1079.911
3,3,153780,18-Jan,5,25,29130.332,22,1324.106
3,3,154450,18-Jan,3,52,108740.692,82,1326.106
3,2,154670,18-Jan,6,8,20318.816,14,1451.344
3,3,153260,18-Jan,14,27,37130.968,28,1326.106
2,1,150720,18-Jan,2,12,109071.011,101,1079.911
1,1,154850,18-Jan,15,4,35637.063,33,1079.911
3,3,153020,18-Jan,15,8,29174.332,22,1326.106
1,3,152400,18-Jan,13,29,5304.424,4,1326.106
1,2,153100,18-Jan,14,9,17416.128,12,1451.344
2,2,153770,18-Feb,4,47,17416.128,12,1451.344
1,2,155620,18-Jan,14,8,74018.544,51,1451.344
1,1,153210,18-Jan,16,44,186824.603,173,1079.911
1,1,155690,18-Jan,21,2,52915.639,49,1079.911
2,1,152590,18-Feb,5,37,89632.613,83,1079.911
2,2,153540,18-Mar,4,5,49345.696,34,1451.344
3,2,150300,18-Jan,1,43,24672.848,17,1451.344
3,3,153460,18-Jan,10,7,21093.628,16,1318.35175
2,1,151560,18-Mar,4,42,29157.597,27,1079.911
4,1,155160,18-Mar,22,14,115550.477,107,1079.911
1,1,154240,18-Mar,16,25,186824.603,173,1079.911
4,3,154580,18-Mar,22,25,53044.24,40,1326.106
1,1,153950,18-Mar,17,67,149027.718,138,1079.911
2,2,152620,18-Jan,1,43,137877.68,95,1451.344
2,1,154450,18-Mar,3,52,279696.949,259,1079.911
2,1,154000,18-Mar,4,35,128509.409,119,1079.911
3,2,154260,18-Jan,1,47,89983.328,62,1451.344
2,2,154790,18-Mar,1,43,1230739.712,848,1451.344
2,2,150750,18-Jan,12,1,13062.096,9,1451.344
1,2,151030,18-Mar,21,1,143683.056,99,1451.344
3,3,155240,18-Feb,7,7,2652.212,2,1326.106
2,2,154760,18-Feb,4,24,52248.384,36,1451.344
3,3,154500,18-Mar,1,43,214829.172,162,1326.106
1,1,153900,18-Feb,17,67,328292.944,304,1079.911
1,1,150810,18-Feb,13,25,356370.63,330,1079.911
3,3,154880,18-Feb,8,33,14587.166,11,1326.106
3,2,152620,18-Jan,1,43,31929.568,22,1451.344
1,2,155350,18-Feb,20,15,26124.192,18,1451.344
1,2,154850,18-Feb,15,4,14513.44,10,1451.344
1,1,155310,18-Feb,12,15,142548.252,132,1079.911
2,2,150750,18-Feb,12,1,2902.688,2,1451.344
1,3,153100,18-Feb,14,9,13261.06,10,1326.106
1,2,155520,18-Feb,17,38,65310.48,45,1451.344
1,1,151330,18-Feb,18,34,170625.938,158,1079.911
2,2,153020,18-Jan,15,8,15964.784,11,1451.344
2,1,154860,18-Feb,1,79,156587.095,145,1079.911
3,3,155160,18-Jan,22,14,14587.166,11,1326.106
1,3,153420,18-Feb,11,50,25196.014,19,1326.106
1,1,153860,18-Feb,11,21,47516.084,44,1079.911
1,1,152220,18-Feb,19,44,118790.21,110,1079.911
3,3,155700,18-Feb,17,67,9282.742,7,1326.106
1,1,155820,18-Feb,14,39,132829.053,123,1079.911
1,2,155620,18-Feb,14,8,74018.544,51,1451.344
2,2,155780,18-Feb,7,57,62407.792,43,1451.344
3,3,155660,18-Feb,7,33,33152.65,25,1326.106
2,1,153410,18-Feb,14,27,11879.021,11,1079.911
2,2,153410,18-Feb,14,27,17416.128,12,1451.344
3,3,153470,18-Jan,10,24,13261.06,10,1326.106
3,3,154000,18-Feb,4,35,23869.908,18,1326.106
1,1,153840,18-Feb,18,37,116630.388,108,1079.911
2,1,155130,18-Feb,1,65,160906.739,149,1079.911
1,2,152370,18-Feb,17,18,26124.192,18,1451.344
2,2,153770,18-Feb,4,47,39186.288,27,1451.344
1,2,154820,18-Feb,15,98,31929.568,22,1451.344
3,3,151860,18-Feb,6,17,21217.696,16,1326.106
3,3,155240,18-Feb,7,7,9282.742,7,1326.106
3,3,155430,18-Feb,4,30,13261.06,10,1326.106
3,2,154670,18-Feb,6,8,10159.408,7,1451.344
1,3,154340,18-Feb,17,55,30500.438,23,1326.106
3,1,153660,18-Feb,6,15,44276.351,41,1079.911
2,1,155270,18-Feb,3,16,17278.576,16,1079.911
4,1,153000,18-Feb,23,95,53995.55,50,1079.911
1,1,154010,18-Feb,14,21,200863.446,186,1079.911
1,3,155420,18-Feb,12,77,17239.378,13,1326.106
1,2,153180,18-Feb,17,67,194480.096,134,1451.344
1,3,154850,18-Feb,15,4,3978.318,3,1326.106
1,3,155690,18-Feb,21,2,6630.53,5,1326.106
4,3,153000,18-Mar,23,95,38457.074,29,1326.106
1,3,155000,18-Feb,9,5,30500.438,23,1326.106
3,3,152590,18-Feb,5,37,6630.53,5,1326.106
1,1,154240,18-Feb,16,25,140388.43,130,1079.911
1,3,155620,18-Feb,14,8,23869.908,18,1326.106
1,3,153240,18-Feb,4,21,29174.332,22,1326.106
1,3,154360,18-Feb,5,34,14587.166,11,1326.106
3,1,155710,18-Mar,6,5,163066.561,151,1079.911
2,2,153130,18-May,10,31,83628.216,56,1493.361
3,3,154820,18-Mar,15,98,7956.636,6,1326.106
3,1,154580,18-Nov,22,25,11312.127,9,1256.903
2,2,154870,18-Mar,14,28,177063.968,122,1451.344
1,2,153420,18-Mar,11,50,71115.856,49,1451.344
1,2,154560,18-Mar,13,43,65310.48,45,1451.344
1,3,155140,18-Feb,4,36,33152.65,25,1326.106
3,1,155010,18-Aug,12,23,4762.124,4,1190.531
3,1,150750,18-Aug,12,1,50002.302,42,1190.531
3,2,154880,18-Aug,8,33,57586.282,37,1556.386
1,2,155200,18-Mar,11,27,30478.224,21,1451.344
1,1,154880,18-Mar,8,33,26997.775,25,1079.911
2,1,154500,18-Mar,1,43,264578.195,245,1079.911
1,3,153300,18-Mar,17,67,64979.194,49,1326.106
1,3,154340,18-Mar,17,55,39783.18,30,1326.106
1,2,153670,18-Mar,21,5,20318.816,14,1451.344
1,2,150810,18-Mar,13,25,175612.624,121,1451.344
2,2,155510,18-Mar,3,21,261241.92,180,1451.344
1,2,155620,18-Mar,14,8,110302.144,76,1451.344
1,1,153180,18-Mar,17,67,107991.1,100,1079.911
1,2,153180,18-Mar,17,67,219152.944,151,1451.344
2,2,151140,18-Apr,1,75,259844.814,174,1493.361
1,2,154250,18-Mar,14,28,98691.392,68,1451.344
3,1,155430,18-Mar,4,30,7559.377,7,1079.911
1,2,154620,18-Mar,21,22,59505.104,41,1451.344
2,2,152290,18-Mar,4,26,216250.256,149,1451.344
1,2,155110,18-Mar,5,19,7256.72,5,1451.344
1,3,153940,18-Feb,22,22,2652.212,2,1326.106
1,1,154580,18-Feb,22,25,2159.822,2,1079.911
1,2,153800,18-Mar,11,13,62407.792,43,1451.344
2,1,154740,18-Mar,11,54,60475.016,56,1079.911
1,2,155290,18-Mar,20,31,29026.88,20,1451.344
3,3,155720,18-Apr,3,97,104146.904,76,1370.354
3,3,153950,18-Jan,17,67,3978.318,3,1326.106
2,1,155740,18-Mar,3,52,62634.838,58,1079.911
3,3,154520,18-Apr,4,11,69888.054,51,1370.354
2,2,155370,18-Apr,9,62,10453.527,7,1493.361
1,1,150690,18-Mar,12,19,3239.733,3,1079.911
1,3,153800,18-Mar,11,13,26522.12,20,1326.106
2,1,154520,18-Apr,4,11,346240.972,308,1124.159
1,2,152440,18-Mar,14,6,18867.472,13,1451.344
2,2,154130,18-Mar,7,34,8708.064,6,1451.344
1,1,153690,18-Apr,5,13,61828.745,55,1124.159
1,1,150810,18-Apr,13,25,296777.976,264,1124.159
1,2,153560,18-Apr,16,35,158296.266,106,1493.361
1,2,153970,18-Apr,11,29,14933.61,10,1493.361
2,1,155670,18-Apr,7,33,80939.448,72,1124.159
2,1,153460,18-Apr,10,7,107919.264,96,1124.159
1,2,152860,18-Apr,14,25,100055.187,67,1493.361
1,2,152370,18-Apr,17,18,29867.22,20,1493.361
1,1,152640,18-Apr,17,67,240570.026,214,1124.159
1,1,154740,18-Apr,11,54,119160.854,106,1124.159
1,3,153210,18-Mar,16,44,23869.908,18,1326.106
2,2,154310,18-Apr,4,22,20907.054,14,1493.361
2,2,155020,18-Apr,1,58,973671.372,652,1493.361
3,1,155570,18-Mar,15,38,5399.555,5,1079.911
3,1,154670,18-Apr,6,8,31476.452,28,1124.159
3,2,153920,18-Apr,6,38,8960.166,6,1493.361
2,1,154450,18-Apr,3,52,234949.231,209,1124.159
2,1,153640,18-May,3,36,274294.796,244,1124.159
2,1,153650,18-May,2,94,242818.344,216,1124.159
2,2,155500,18-May,2,93,274778.424,184,1493.361
2,2,155430,19-Apr,4,30,140350.56,84,1670.84
3,3,155830,18-Nov,3,97,87899.557,59,1489.823
3,3,153340,18-Apr,16,15,8222.124,6,1370.354
2,2,155630,19-Apr,14,28,287384.48,172,1670.84
3,3,152590,18-Apr,5,37,50703.098,37,1370.354
3,1,153690,18-Apr,5,13,11241.59,10,1124.159
3,3,153690,18-Apr,5,13,49332.744,36,1370.354
3,3,153640,18-Apr,3,36,65776.992,48,1370.354
1,2,155300,18-Mar,7,23,8708.064,6,1451.344
3,3,151140,18-Apr,1,75,58925.222,43,1370.354
2,1,154260,18-May,1,47,245066.662,218,1124.159
4,3,154620,18-Mar,21,22,7956.636,6,1326.106
2,3,154990,19-Apr,24,17,65404.794,42,1557.257
2,2,155130,18-May,1,65,815375.106,546,1493.361
2,2,155740,19-Apr,3,52,198829.96,119,1670.84
1,1,152800,18-Apr,14,13,248439.139,221,1124.159
2,2,152930,18-Apr,1,40,307632.366,206,1493.361
1,1,154620,18-Apr,21,22,170872.168,152,1124.159
1,1,154940,18-Apr,21,49,194479.507,173,1124.159
3,3,154820,18-Apr,15,98,5481.416,4,1370.354
3,2,155370,18-Apr,9,62,2986.722,2,1493.361
2,1,152290,18-Apr,4,26,254059.934,226,1124.159
1,2,153670,18-Apr,21,5,23893.776,16,1493.361
1,3,154420,18-Apr,1,83,6851.77,5,1370.354
4,3,153350,18-Mar,16,8,7956.636,6,1326.106
3,2,150990,18-Nov,18,42,4820.421,3,1606.807
1,2,153840,18-Apr,18,37,74668.05,50,1493.361
2,2,155830,18-Apr,3,53,141869.295,95,1493.361
2,2,155720,18-Apr,3,97,350939.835,235,1493.361
1,1,154250,18-Apr,14,28,43842.201,39,1124.159
3,1,154400,18-Apr,7,81,26979.816,24,1124.159
1,3,153970,18-Apr,11,29,2740.708,2,1370.354
1,3,153210,18-Apr,16,44,13703.54,10,1370.354
2,1,152580,18-Apr,9,50,42718.042,38,1124.159
1,2,155460,18-Apr,19,45,20907.054,14,1493.361
1,2,153020,18-May,15,8,55254.357,37,1493.361
2,1,155570,18-Apr,15,38,11241.59,10,1124.159
2,1,154910,18-Nov,3,15,153342.166,122,1256.903
1,1,152290,18-May,4,26,35973.088,32,1124.159
2,1,155630,18-May,14,28,123657.49,110,1124.159
1,2,155640,18-Apr,15,16,134402.49,90,1493.361
3,1,154900,18-Apr,7,32,6744.954,6,1124.159
3,3,154730,18-May,14,14,63036.284,46,1370.354
1,3,154820,18-Apr,15,98,4111.062,3,1370.354
1,3,154280,18-May,17,67,58925.222,43,1370.354
1,1,155600,18-Apr,3,17,38221.406,34,1124.159
